source,target,weight,correlation
PRAME,AC013461.1,1,1
PRAME,AGPAT3,1,1
PRAME,AKNA,1,1
PRAME,ANKRD9,1,1
PRAME,ATP5E,1,1
PRAME,ATP5G1,1,1
PRAME,C19ORF24,1,1
PRAME,CCDC127,1,1
PRAME,CCNC,1,1
PRAME,CDIP1,1,1
PRAME,CDR2,1,1
PRAME,CTBP1,1,1
PRAME,CUL4B,1,1
PRAME,CYCS,1,1
PRAME,DDHD2,1,1
PRAME,DMKN,1,1
PRAME,DTX3,1,1
PRAME,DYM,1,1
PRAME,ECHDC2,1,1
PRAME,FAM72B,1,1
PRAME,FBXW5,1,1
PRAME,GCNT1,1,1
PRAME,GINS4,1,1
PRAME,HJURP,1,1
PRAME,IGHMBP2,1,1
PRAME,KHNYN,1,1
PRAME,LRP5,1,1
PRAME,LRRC57,1,1
PRAME,MIA,1,1
PRAME,MMP2,1,1
PRAME,NAA38,1,1
PRAME,NINL,1,1
PRAME,NME2,1,1
PRAME,NRN1,1,1
PRAME,PARP12,1,1
PRAME,PLCB1,1,1
PRAME,POGZ,1,1
PRAME,PRKAR2B,1,1
PRAME,PRR11,1,1
PRAME,PRR7,1,1
PRAME,PSMA2,1,1
PRAME,PSMB1,1,1
PRAME,RITA1,1,1
PRAME,RPA3,1,1
PRAME,SETD4,1,1
PRAME,SHFM1,1,1
PRAME,SLC39A3,1,1
PRAME,TBC1D13,1,1
PRAME,TFB1M,1,1
PRAME,TMEM263,1,1
PRAME,TPMT,1,1
PRAME,VTI1B,1,1
PRAME,ZBTB44,1,1
PRAME,ZNF629,1,1
PRAME,ZNF69,1,1
NDUFB9,FAM72B,1,1
NDUFB9,HJURP,1,1
ARHGAP21,AHCY,1,1
ARHGAP21,ALDH2,1,1
ARHGAP21,ARMCX4,1,1
ARHGAP21,ATP5G1,1,1
ARHGAP21,AUTS2,1,1
ARHGAP21,BOLA3,1,1
ARHGAP21,C17ORF53,1,1
ARHGAP21,DCAF15,1,1
ARHGAP21,DIP2A,1,1
ARHGAP21,DLG3,1,1
ARHGAP21,EPC1,1,1
ARHGAP21,FAM72B,1,1
ARHGAP21,FASN,1,1
ARHGAP21,FBXO25,1,1
ARHGAP21,FBXO27,1,1
ARHGAP21,GCNT1,1,1
ARHGAP21,JOSD1,1,1
ARHGAP21,NEK9,1,1
ARHGAP21,NINL,1,1
ARHGAP21,OTUD1,1,1
ARHGAP21,POGZ,1,1
ARHGAP21,PRKAR2B,1,1
ARHGAP21,RAB2B,1,1
ARHGAP21,RPA3,1,1
ARHGAP21,SAP18,1,1
ARHGAP21,SNX15,1,1
ARHGAP21,SPAG5,1,1
ARHGAP21,TBC1D13,1,1
ARHGAP21,TGFB1I1,1,1
ARHGAP21,TMEM184C,1,1
ARHGAP21,TROAP,1,1
ARHGAP21,VPS13C,1,1
ARHGAP21,WBP1L,1,1
ARHGAP21,ZNF629,1,1
ARHGAP21,ZNF69,1,1
EPC1,ARHGEF7,1,1
EPC1,ATP5E,1,1
EPC1,FAM72B,1,1
EPC1,NAA38,1,1
EPC1,POGZ,1,1
EPC1,PRR7,1,1
EPC1,RPA3,1,1
EPC1,TBC1D13,1,1
PDIA4,AK1,1,1
PDIA4,AKNA,1,1
PDIA4,ARHGEF7,1,1
