source,target,weight,correlation
THY1,AC004556.1,1,1
THY1,ACTBP6,1,1
THY1,ADAM33,1,1
THY1,BGN,1,1
THY1,CD248,1,1
THY1,CLDN11,1,1
THY1,COL1A1,1,1
THY1,COL1A2,1,1
THY1,COL3A1,1,1
THY1,COL6A1,1,1
THY1,COL6A2,1,1
THY1,COL6A3,1,1
THY1,DCN,1,1
THY1,FBLN5,1,1
THY1,GOLGA8B,1,1
THY1,GREM1,1,1
THY1,IFI27,1,1
THY1,IFI44L,1,1
THY1,IRF7,1,1
THY1,LIPG,1,1
THY1,NTSR1,1,1
THY1,PDGFRB,1,1
THY1,PNMAL1,1,1
THY1,PTGS1,1,1
THY1,RAB3B,1,1
THY1,RAMP1,1,1
THY1,SLC38A5,1,1
THY1,TMEM119,1,1
XAF1,IFI44L,1,1
XAF1,IFITM1,1,1
XAF1,PDE3A,1,1
XAF1,SLC38A5,1,1
XAF1,VASN,1,1
COL3A1,AC004556.1,1,1
COL3A1,ACTBP6,1,1
COL3A1,ADAM33,1,1
COL3A1,BGN,1,1
COL3A1,CD248,1,1
COL3A1,CLDN11,1,1
COL3A1,COL1A1,1,1
COL3A1,COL1A2,1,1
COL3A1,COL6A1,1,1
COL3A1,COL6A2,1,1
COL3A1,COL6A3,1,1
COL3A1,DCN,1,1
COL3A1,FBLN5,1,1
COL3A1,GREM1,1,1
COL3A1,IFI27,1,1
COL3A1,IFI44L,1,1
COL3A1,IRF7,1,1
COL3A1,LIPG,1,1
COL3A1,MTND2P28,1,1
COL3A1,NTSR1,1,1
COL3A1,PDGFRB,1,1
COL3A1,PNMAL1,1,1
COL3A1,PTGS1,1,1
COL3A1,RAB3B,1,1
COL3A1,SLC38A5,1,1
COL3A1,TMEM119,1,1
RASIP1,AC004556.1,1,1
RASIP1,FBLN1,1,1
RASIP1,IFI44L,1,1
RASIP1,IFITM1,1,1
RASIP1,PNMAL1,1,1
RASIP1,SLC38A5,1,1
COL1A2,ACTBP6,1,1
COL1A2,ADAM33,1,1
COL1A2,ADAT2,1,1
COL1A2,BGN,1,1
COL1A2,CD248,1,1
COL1A2,CLDN11,1,1
COL1A2,COL6A1,1,1
COL1A2,COL6A2,1,1
COL1A2,COL6A3,1,1
COL1A2,FBLN1,1,1
COL1A2,GREM1,1,1
COL1A2,IFI44L,1,1
COL1A2,IFIT1,1,1
COL1A2,IFIT3,1,1
COL1A2,IFITM1,1,1
COL1A2,IRF7,1,1
COL1A2,LIPG,1,1
COL1A2,NTSR1,1,1
COL1A2,PNMAL1,1,1
COL1A2,PTGS1,1,1
COL1A2,SLC38A5,1,1
COL1A2,TMEM119,1,1
PDGFRA,MTND2P28,1,1
CDK17,KIAA1755,1,1
IRF7,AC004556.1,1,1
IRF7,ACTBP6,1,1
IRF7,ADAM33,1,1
IRF7,BGN,1,1
IRF7,CD248,1,1
IRF7,CLDN11,1,1
IRF7,COL1A1,1,1
IRF7,COL6A1,1,1
IRF7,COL6A2,1,1
IRF7,COL6A3,1,1
IRF7,DCN,1,1
IRF7,FBLN1,1,1
IRF7,FBLN5,1,1
IRF7,GREM1,1,1
IRF7,IFI27,1,1
IRF7,IFI44L,1,1
IRF7,IFIT1,1,1
IRF7,IFIT3,1,1
IRF7,IFITM1,1,1
IRF7,LIPG,1,1
IRF7,NTSR1,1,1
IRF7,PDGFRB,1,1
IRF7,PNMAL1,1,1
IRF7,PTGS1,1,1
IRF7,RAB3B,1,1
IRF7,SLC38A5,1,1
IRF7,TMEM119,1,1
ADAT2,COL6A1,1,1
ADAT2,LIPG,1,1
ADAT2,PNMAL1,1,1
ADAT2,SLC38A5,1,1
DCN,AC004556.1,1,1
DCN,ACTBP6,1,1
DCN,ADAM33,1,1
DCN,BGN,1,1
DCN,CD248,1,1
DCN,CLDN11,1,1
DCN,COL1A1,1,1
DCN,COL6A2,1,1
DCN,COL6A3,1,1
DCN,FBLN5,1,1
DCN,GREM1,1,1
DCN,IFI27,1,1
DCN,IFI44L,1,1
DCN,LIPG,1,1
DCN,MTND2P28,1,1
DCN,MXRA8,1,1
DCN,NTSR1,1,1
DCN,PDGFRB,1,1
DCN,PTGS1,1,1
DCN,RAB3B,1,1
DCN,SLC38A5,1,1
DCN,TMEM119,1,1
MAN2C1,CDH11,1,1
KIAA1755,CDH11,1,1
KIAA1755,FBLN1,1,1
KIAA1755,LIPG,1,1
KIAA1755,PNMAL1,1,1
KIAA1755,TPRA1,1,1
PDGFRB,AC004556.1,1,1
PDGFRB,ACTBP6,1,1
PDGFRB,ADAM33,1,1
PDGFRB,BGN,1,1
PDGFRB,CD248,1,1
PDGFRB,CLDN11,1,1
PDGFRB,COL1A1,1,1
PDGFRB,COL6A2,1,1
PDGFRB,COL6A3,1,1
PDGFRB,FBLN5,1,1
PDGFRB,GREM1,1,1
PDGFRB,IFI27,1,1
PDGFRB,IFI44L,1,1
PDGFRB,LIPG,1,1
PDGFRB,MTND2P28,1,1
PDGFRB,NTSR1,1,1
PDGFRB,PTGS1,1,1
PDGFRB,RAB3B,1,1
PDGFRB,RAMP1,1,1
PDGFRB,SLC38A5,1,1
PDGFRB,TMEM119,1,1
CDH11,FABP3,1,1
CDH11,FBLN1,1,1
CDH11,RAMP1,1,1
IFITM1,AC004556.1,1,1
IFITM1,CD248,1,1
IFITM1,CLDN11,1,1
IFITM1,COL6A1,1,1
IFITM1,COL6A2,1,1
IFITM1,IFI44L,1,1
IFITM1,IFIT1,1,1
IFITM1,IFIT3,1,1
IFITM1,PDE3A,1,1
IFITM1,PNMAL1,1,1
IFITM1,SLC38A5,1,1
IFIT1,COL6A1,1,1
IFIT1,FBLN1,1,1
IFIT1,IFIT3,1,1
IFIT1,LIPG,1,1
IFIT1,PNMAL1,1,1
IFIT1,SLC38A5,1,1
PLAU,ANPEP,1,1
PLAU,FABP3,1,1
PLAU,RAMP1,1,1
TMEM119,AC004556.1,1,1
TMEM119,ACTBP6,1,1
TMEM119,ADAM33,1,1
TMEM119,BGN,1,1
TMEM119,CD248,1,1
TMEM119,CLDN11,1,1
TMEM119,COL1A1,1,1
TMEM119,COL6A1,1,1
TMEM119,COL6A2,1,1
TMEM119,COL6A3,1,1
TMEM119,FBLN5,1,1
TMEM119,GREM1,1,1
TMEM119,IFI27,1,1
TMEM119,IFI44L,1,1
TMEM119,LIPG,1,1
TMEM119,MTND2P28,1,1
TMEM119,NTSR1,1,1
TMEM119,PNMAL1,1,1
TMEM119,PTGS1,1,1
TMEM119,RAB3B,1,1
TMEM119,SLC38A5,1,1
MTND2P28,ACTBP6,1,1
MTND2P28,ADAM33,1,1
MTND2P28,BGN,1,1
MTND2P28,CLDN11,1,1
MTND2P28,COL1A1,1,1
MTND2P28,COL6A2,1,1
MTND2P28,COL6A3,1,1
MTND2P28,GREM1,1,1
MTND2P28,MXRA8,1,1
MTND2P28,NTSR1,1,1
MTND2P28,PTGS1,1,1
MTND2P28,RAB3B,1,1
RAB3B,AC004556.1,1,1
RAB3B,ACTBP6,1,1
RAB3B,ADAM33,1,1
RAB3B,BGN,1,1
RAB3B,CD248,1,1
RAB3B,CLDN11,1,1
RAB3B,COL1A1,1,1
RAB3B,COL6A2,1,1
RAB3B,COL6A3,1,1
RAB3B,FBLN5,1,1
RAB3B,GREM1,1,1
RAB3B,IFI27,1,1
RAB3B,IFI44L,1,1
RAB3B,LIPG,1,1
RAB3B,NTSR1,1,1
RAB3B,PTGS1,1,1
RAB3B,SLC38A5,1,1
COL6A1,ACTBP6,1,1
COL6A1,ADAM33,1,1
COL6A1,BGN,1,1
COL6A1,CD248,1,1
COL6A1,CLDN11,1,1
COL6A1,COL6A2,1,1
COL6A1,COL6A3,1,1
COL6A1,FBLN1,1,1
COL6A1,IFI44L,1,1
COL6A1,IFIT3,1,1
COL6A1,LIPG,1,1
COL6A1,NTSR1,1,1
COL6A1,PNMAL1,1,1
COL6A1,PTGS1,1,1
COL6A1,SLC38A5,1,1
COL6A1,VASN,1,1
TPBG,PDE3A,1,1
TPBG,VASN,1,1
COL1A1,AC004556.1,1,1
COL1A1,ACTBP6,1,1
COL1A1,ADAM33,1,1
COL1A1,BGN,1,1
COL1A1,CD248,1,1
COL1A1,CLDN11,1,1
COL1A1,COL6A2,1,1
COL1A1,COL6A3,1,1
COL1A1,FBLN5,1,1
COL1A1,GREM1,1,1
COL1A1,IFI27,1,1
COL1A1,IFI44L,1,1
COL1A1,LIPG,1,1
COL1A1,NTSR1,1,1
COL1A1,PTGS1,1,1
COL1A1,RAMP1,1,1
COL1A1,SLC38A5,1,1
FBLN5,AC004556.1,1,1
FBLN5,ACTBP6,1,1
FBLN5,ADAM33,1,1
FBLN5,BGN,1,1
FBLN5,CD248,1,1
FBLN5,CLDN11,1,1
FBLN5,COL6A2,1,1
FBLN5,COL6A3,1,1
FBLN5,GREM1,1,1
FBLN5,IFI27,1,1
FBLN5,IFI44L,1,1
FBLN5,LIPG,1,1
FBLN5,NTSR1,1,1
FBLN5,PNMAL1,1,1
FBLN5,PTGS1,1,1
FBLN5,SLC38A5,1,1
GREM1,AC004556.1,1,1
GREM1,ACTBP6,1,1
GREM1,ADAM33,1,1
GREM1,BGN,1,1
GREM1,CD248,1,1
GREM1,CLDN11,1,1
GREM1,COL6A2,1,1
GREM1,COL6A3,1,1
GREM1,IFI27,1,1
GREM1,IFI44L,1,1
GREM1,LIPG,1,1
GREM1,NTSR1,1,1
GREM1,PNMAL1,1,1
GREM1,PTGS1,1,1
GREM1,SLC38A5,1,1
ACTBP6,AC004556.1,1,1
ACTBP6,ADAM33,1,1
ACTBP6,BGN,1,1
ACTBP6,CD248,1,1
ACTBP6,CLDN11,1,1
ACTBP6,COL6A2,1,1
ACTBP6,COL6A3,1,1
ACTBP6,IFI27,1,1
ACTBP6,IFI44L,1,1
ACTBP6,LIPG,1,1
ACTBP6,NTSR1,1,1
ACTBP6,PNMAL1,1,1
ACTBP6,PTGS1,1,1
ACTBP6,SLC38A5,1,1
PDE3A,BSG,1,1
PDE3A,VASN,1,1
COL6A2,ADAM33,1,1
COL6A2,BGN,1,1
COL6A2,CD248,1,1
COL6A2,CLDN11,1,1
COL6A2,COL6A3,1,1
COL6A2,IFI27,1,1
COL6A2,IFI44L,1,1
COL6A2,LIPG,1,1
COL6A2,MXRA8,1,1
COL6A2,NTSR1,1,1
COL6A2,PNMAL1,1,1
COL6A2,PTGS1,1,1
COL6A2,SLC38A5,1,1
MXRA8,BGN,1,1
MXRA8,CLDN11,1,1
NTSR1,AC004556.1,1,1
NTSR1,ADAM33,1,1
NTSR1,BGN,1,1
NTSR1,CD248,1,1
NTSR1,CLDN11,1,1
NTSR1,COL6A3,1,1
NTSR1,IFI27,1,1
NTSR1,IFI44L,1,1
NTSR1,LIPG,1,1
NTSR1,PNMAL1,1,1
NTSR1,PTGS1,1,1
NTSR1,SLC38A5,1,1
IFI27,AC004556.1,1,1
IFI27,ADAM33,1,1
IFI27,BGN,1,1
IFI27,CD248,1,1
IFI27,CLDN11,1,1
IFI27,COL6A3,1,1
IFI27,IFI44L,1,1
IFI27,LIPG,1,1
IFI27,PNMAL1,1,1
IFI27,PTGS1,1,1
IFI27,RAMP1,1,1
IFI27,SLC38A5,1,1
IFI44L,AC004556.1,1,1
IFI44L,ADAM33,1,1
IFI44L,BGN,1,1
IFI44L,CD248,1,1
IFI44L,CLDN11,1,1
IFI44L,COL6A3,1,1
IFI44L,IFIT3,1,1
IFI44L,PNMAL1,1,1
IFI44L,PTGS1,1,1
IFI44L,SLC38A5,1,1
CLDN11,AC004556.1,1,1
CLDN11,ADAM33,1,1
CLDN11,BGN,1,1
CLDN11,CD248,1,1
CLDN11,COL6A3,1,1
CLDN11,LIPG,1,1
CLDN11,PNMAL1,1,1
CLDN11,PTGS1,1,1
CLDN11,SLC38A5,1,1
CD248,AC004556.1,1,1
CD248,ADAM33,1,1
CD248,BGN,1,1
CD248,COL6A3,1,1
CD248,LIPG,1,1
CD248,PNMAL1,1,1
CD248,PTGS1,1,1
CD248,RAMP1,1,1
CD248,SLC38A5,1,1
FABP3,RAMP1,1,1
FBLN1,IFIT3,1,1
FBLN1,LIPG,1,1
FBLN1,PNMAL1,1,1
FBLN1,SLC38A5,1,1
FBLN1,TPRA1,1,1
LIPG,ADAM33,1,1
LIPG,BGN,1,1
LIPG,COL6A3,1,1
LIPG,IFIT3,1,1
LIPG,PNMAL1,1,1
LIPG,PTGS1,1,1
LIPG,SLC38A5,1,1
IFIT3,PNMAL1,1,1
IFIT3,SLC38A5,1,1
PNMAL1,ADAM33,1,1
PNMAL1,BGN,1,1
PNMAL1,COL6A3,1,1
PNMAL1,PTGS1,1,1
PNMAL1,SLC38A5,1,1
COL6A3,AC004556.1,1,1
COL6A3,ADAM33,1,1
COL6A3,BGN,1,1
COL6A3,PTGS1,1,1
COL6A3,SLC38A5,1,1
AC004556.1,ADAM33,1,1
AC004556.1,BGN,1,1
AC004556.1,PTGS1,1,1
AC004556.1,RAMP1,1,1
AC004556.1,SLC38A5,1,1
ADAM33,BGN,1,1
ADAM33,PTGS1,1,1
ADAM33,SLC38A5,1,1
PTGS1,BGN,1,1
PTGS1,SLC38A5,1,1
SLC38A5,BGN,1,1
RAMP1,ANPEP,1,1
