,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,9.145001614994637,0.47743107880619645,0.7957409518331633,0.5999830443642865,0.5485175356275815,0.6458123127234797
A1BG-AS1,139.56180602896808,0.5677793044106845,0.2735828077690754,2.0753471646870927,0.037954371176072706,0.0779966703537993
A2M,37.82435329538027,3.3041810442442743,0.9012041000365563,3.66640702601136,0.00024598229425285906,0.001071222135044974
A2M-AS1,24.410552450568996,0.1657716252974851,0.5457667198669822,0.30374080951269444,0.7613253644393652,0.8249864939834805
A2ML1,27.44807449783073,5.688230898189912,1.9717092422897913,2.884923789059303,0.003915084250447038,0.01179853991788424
AAAS,338.89335733348906,0.3484856334299357,0.22192252523330555,1.5703031184580083,0.1163446090448079,0.19166933413961285
AACS,221.93095013474655,0.731043531967227,0.22994380915335613,3.17922684963296,0.0014766847392568264,0.005108735886995882
AADAT,9.727527884672952,4.197953693667173,1.9767151537217575,2.123701882774192,0.03369507985996373,0.07100476447988822
AAGAB,583.8629095750998,0.03996925158641338,0.16413304219484545,0.2435173993726694,0.8076046079734134,0.8599837732037056
AAK1,1870.2339305358873,0.6294120931882901,0.3513909087253832,1.7912019849101566,0.07326088781232963,0.13305255451175263
AAMDC,37.21055484522718,1.0382567617402925,0.4589758654968787,2.2621162457339565,0.02369022213294438,0.053430551926441354
AAMP,641.5677688551696,-0.050477348734471794,0.16765395094029242,-0.3010805796783673,0.7633530495206218,0.8262594395223212
AAR2,362.02183025321335,-0.2892828401667428,0.15134209507799454,-1.9114499506410307,0.055946782783638266,0.10690135590765752
AARS1,616.7875909248306,0.5548088719313895,0.1984508054011845,2.7956997746106302,0.005178748392474265,0.015042245377615936
AARS2,365.7521555156341,-0.010958710521263099,0.14929713394185998,-0.07340201537646861,0.9414862138852144,0.9573723549259681
AARSD1,11.218437947794117,0.40107149929469466,0.7429156327423186,0.5398614346210788,0.5892925956803767,0.6824330223350795
AASDH,347.6515250125942,0.47458019709429455,0.17063034053339005,2.781335345230854,0.005413578441532351,0.01563853809406339
AASDHPPT,620.4354304354686,0.4892346326615104,0.1651468024092746,2.9624226780308227,0.0030522846088616427,0.00955151578403266
AASS,40.58981555493504,1.9661326297821367,0.8305823223269676,2.3671737008245013,0.017924518004066626,0.04259615218415036
AATBC,46.899927590762864,-2.692481817929546,0.36092359022851667,-7.459977376997766,8.653733726470685e-14,1.7441380887720307e-12
AATF,1020.1883038337493,0.004244145788656468,0.15318639619947788,0.027705761699164073,0.9778968282975634,0.9838219480695357
ABALON,7.24644143952509,-0.02844155871510043,0.8328296796195865,-0.03415051049584562,0.972757130400955,0.9800924893768707
ABAT,259.904518426876,-0.284553793421224,0.19636868406173658,-1.4490792907272465,0.14731544067443905,0.23060721290911332
ABCA1,909.1729330342177,1.6661099762176648,0.44109567191663734,3.777207717722841,0.00015859645600364085,0.0007302693023174181
ABCA10,24.81184064996375,1.782588351449095,0.6639274806925668,2.684914246341502,0.007254841761937303,0.02004327851484247
ABCA11P,11.743790281063333,4.451852201978207,1.931563994095727,2.3047914620412917,0.021178255512756008,0.048787423036891396
