source,target,weight,correlation
FILIP1L,CD8A,1,1
FILIP1L,CD8B,1,1
FILIP1L,CDH11,1,1
FILIP1L,CLIC3,1,1
FILIP1L,CRTAM,1,1
FILIP1L,CTSW,1,1
FILIP1L,EIF3FP3,1,1
FILIP1L,EIF4EP2,1,1
FILIP1L,GPAT3,1,1
FILIP1L,LDHAP4,1,1
FILIP1L,LINC02446,1,1
FILIP1L,MAOB,1,1
FILIP1L,MT-ND6,1,1
FILIP1L,MT-TS1,1,1
FILIP1L,PRL,1,1
FILIP1L,PTGDS,1,1
FILIP1L,QPCT,1,1
FILIP1L,RPLP0P6,1,1
FILIP1L,RPS7P1,1,1
FILIP1L,TNC,1,1
FILIP1L,XCL1,1,1
FILIP1L,XCL2,1,1
FILIP1L,ZNF683,1,1
LINC02446,ADRB1,1,1
LINC02446,CD8A,1,1
LINC02446,CD8B,1,1
LINC02446,CLIC3,1,1
LINC02446,CRTAM,1,1
LINC02446,EIF4EP2,1,1
LINC02446,FCRL6,1,1
LINC02446,MT-TS1,1,1
LINC02446,NT5E,1,1
LINC02446,OSMR,1,1
LINC02446,PRL,1,1
LINC02446,RPS7P1,1,1
LINC02446,SPARCL1,1,1
LINC02446,XCL1,1,1
LINC02446,ZNF683,1,1
QPCT,CD8A,1,1
QPCT,CD8B,1,1
QPCT,CLIC3,1,1
QPCT,CRTAM,1,1
QPCT,CTSW,1,1
QPCT,EIF4EP2,1,1
QPCT,GPAT3,1,1
QPCT,LDHAP4,1,1
QPCT,MAOB,1,1
QPCT,MT-ND6,1,1
QPCT,MT-TS1,1,1
QPCT,PKD1P2,1,1
QPCT,PRL,1,1
QPCT,PTGDS,1,1
QPCT,RPLP0P6,1,1
QPCT,RPS7P1,1,1
QPCT,TNC,1,1
QPCT,XCL2,1,1
SNORD91B,EIF3FP3,1,1
MT-ND6,CLIC3,1,1
MT-ND6,EIF4EP2,1,1
MT-ND6,GPAT3,1,1
MT-ND6,RPS7P1,1,1
ITGA11,HCRTR2,1,1
IGHD,HCRTR2,1,1
IGHD,LDHAP4,1,1
IGHD,MST1P2,1,1
IGHD,MT-TS1,1,1
IGHD,OSMR,1,1
IGHD,PKHD1L1,1,1
IGHD,ZNF683,1,1
FAM20A,COL6A6,1,1
FAM20A,LAMA4,1,1
FAM20A,SPARCL1,1,1
ADRB1,CD8A,1,1
ADRB1,CD8B,1,1
ADRB1,CLIC3,1,1
ADRB1,CRTAM,1,1
ADRB1,CTSW,1,1
ADRB1,FCRL6,1,1
ADRB1,LDHAP4,1,1
ADRB1,MST1P2,1,1
ADRB1,NT5E,1,1
ADRB1,PKHD1L1,1,1
ADRB1,PRL,1,1
ADRB1,RPLP0P6,1,1
ADRB1,TRIM17,1,1
ADRB1,XCL1,1,1
ADRB1,XCL2,1,1
ADRB1,ZNF683,1,1
FCRL6,CD8A,1,1
FCRL6,CD8B,1,1
FCRL6,CLIC3,1,1
FCRL6,CRTAM,1,1
FCRL6,CTSW,1,1
FCRL6,LDHAP4,1,1
FCRL6,NT5E,1,1
FCRL6,PRL,1,1
FCRL6,RPLP0P6,1,1
FCRL6,TRIM17,1,1
FCRL6,XCL1,1,1
FCRL6,XCL2,1,1
FCRL6,ZNF683,1,1
TNC,CDH11,1,1
TNC,COL4A1,1,1
TNC,COL4A2,1,1
TNC,EIF4EP2,1,1
TNC,MAOB,1,1
TNC,RPS7P1,1,1
TNC,SPARCL1,1,1
XCL1,CD8A,1,1
XCL1,CD8B,1,1
XCL1,CLIC3,1,1
XCL1,CRTAM,1,1
XCL1,CTSW,1,1
XCL1,DPT,1,1
XCL1,EIF3FP3,1,1
XCL1,HCRTR2,1,1
XCL1,LDHAP4,1,1
XCL1,MAOB,1,1
XCL1,MT-TS1,1,1
XCL1,PTGDS,1,1
XCL1,XCL2,1,1
XCL1,ZNF683,1,1
EIF3FP3,CD8A,1,1
EIF3FP3,CDH11,1,1
EIF3FP3,COL4A1,1,1
EIF3FP3,COL4A2,1,1
EIF3FP3,MAOB,1,1
EIF3FP3,MT-TS1,1,1
EIF3FP3,RPS7P1,1,1
EIF3FP3,SPARCL1,1,1
PTGDS,CD8A,1,1
PTGDS,CLIC3,1,1
PTGDS,CTSW,1,1
PTGDS,HCRTR2,1,1
PTGDS,LDHAP4,1,1
PTGDS,MAOB,1,1
PTGDS,MT-TS1,1,1
PTGDS,PRL,1,1
PTGDS,RPLP0P6,1,1
PTGDS,ZNF683,1,1
RPLP0P6,CD8A,1,1
RPLP0P6,CD8B,1,1
RPLP0P6,CLIC3,1,1
RPLP0P6,CRTAM,1,1
RPLP0P6,CTSW,1,1
RPLP0P6,LDHAP4,1,1
RPLP0P6,MT-TS1,1,1
RPLP0P6,NT5E,1,1
RPLP0P6,OSMR,1,1
RPLP0P6,PKHD1L1,1,1
RPLP0P6,PRL,1,1
RPLP0P6,ZNF683,1,1
EIF4EP2,CD8A,1,1
EIF4EP2,CD8B,1,1
EIF4EP2,CLIC3,1,1
EIF4EP2,CRTAM,1,1
EIF4EP2,GPAT3,1,1
EIF4EP2,MAOB,1,1
EIF4EP2,MT-TS1,1,1
EIF4EP2,RPS7P1,1,1
PRL,CD8A,1,1
PRL,CD8B,1,1
PRL,CLIC3,1,1
PRL,CRTAM,1,1
PRL,CTSW,1,1
PRL,MST1P2,1,1
PRL,MT-TS1,1,1
PRL,NT5E,1,1
PRL,OSMR,1,1
PRL,PKHD1L1,1,1
PRL,ZNF683,1,1
MAOB,CDH11,1,1
MAOB,CLIC3,1,1
MAOB,COL4A1,1,1
MAOB,CTSW,1,1
MAOB,DPT,1,1
MAOB,LDHAP4,1,1
MAOB,MT-TS1,1,1
