source,target,weight,correlation
NMB,AAGAB,1,1
NMB,ABCB6,1,1
NMB,ACAA1,1,1
NMB,ACO1,1,1
NMB,ADAMTS16,1,1
NMB,ADAMTS6,1,1
NMB,ADAMTSL1,1,1
NMB,ADD2,1,1
NMB,ADGRL3,1,1
NMB,ADGRL4,1,1
NMB,ADK,1,1
NMB,ADO,1,1
NMB,ADORA1,1,1
NMB,ADPRHL1,1,1
NMB,AGAP2,1,1
NMB,AGFG2,1,1
NMB,AKAP2,1,1
NMB,AKTIP,1,1
NMB,AMPD3,1,1
NMB,ANOS1,1,1
NMB,AP2M1,1,1
NMB,ARFGEF3,1,1
NMB,ARHGEF4,1,1
NMB,ARL14EP,1,1
NMB,ARL4C,1,1
NMB,ARMC4,1,1
NMB,ARNTL2,1,1
NMB,ARPC4,1,1
NMB,ARPP19,1,1
NMB,ASAH2,1,1
NMB,ASB6,1,1
NMB,ATG13,1,1
NMB,AXL,1,1
NMB,B4GALNT1,1,1
NMB,BASP1,1,1
NMB,BCAS4,1,1
NMB,BCAT1,1,1
NMB,BCL10,1,1
NMB,BDNF,1,1
NMB,BEX1,1,1
NMB,BRD7,1,1
NMB,BRD9,1,1
NMB,C11ORF98,1,1
NMB,C15ORF52,1,1
NMB,C1ORF106,1,1
NMB,C22ORF23,1,1
NMB,CAMK1,1,1
NMB,CAMK2G,1,1
NMB,CAMK2N1,1,1
NMB,CARD10,1,1
NMB,CAST,1,1
NMB,CATSPER1,1,1
NMB,CCAR2,1,1
NMB,CCDC6,1,1
NMB,CCDC90B,1,1
NMB,CD274,1,1
NMB,CD33,1,1
NMB,CDH24,1,1
NMB,CDH4,1,1
NMB,CDK9,1,1
NMB,CDKN2AIP,1,1
NMB,CDO1,1,1
NMB,CENPBD1P1,1,1
NMB,CLCF1,1,1
NMB,CLCN5,1,1
NMB,CLMP,1,1
NMB,CLNS1A,1,1
NMB,CLU,1,1
NMB,CMTM3,1,1
NMB,CNN2,1,1
NMB,COL12A1,1,1
NMB,COL13A1,1,1
NMB,COL5A1,1,1
NMB,COL7A1,1,1
NMB,COL8A1,1,1
NMB,CORO1A,1,1
NMB,CSNK2A2,1,1
NMB,CSRP1,1,1
NMB,CSRP2,1,1
NMB,CYB5R4,1,1
NMB,DAG1,1,1
NMB,DAP,1,1
NMB,DAXX,1,1
NMB,DBNDD2,1,1
NMB,DDA1,1,1
NMB,DDX19A,1,1
NMB,DDX19B,1,1
NMB,DENND1B,1,1
NMB,DENND3,1,1
NMB,DESI2,1,1
NMB,DNAH2,1,1
NMB,DNAJC6,1,1
NMB,DNM1,1,1
NMB,DPF3,1,1
NMB,DRP2,1,1
NMB,DSP,1,1
NMB,DTD1,1,1
NMB,DTWD1,1,1
NMB,E2F4,1,1
NMB,EEF1G,1,1
NMB,EEF2,1,1
NMB,EFEMP1,1,1
NMB,EFNB2,1,1
NMB,EMC4,1,1
NMB,EMSY,1,1
NMB,ENSA,1,1
NMB,EPN1,1,1
NMB,ESD,1,1
NMB,FADD,1,1
NMB,FADS1,1,1
NMB,FAM155A,1,1
NMB,FAM26E,1,1
NMB,FAM84A,1,1
NMB,FAM96B,1,1
NMB,FARP2,1,1
NMB,FBLIM1,1,1
NMB,FERMT1,1,1
NMB,FGF12,1,1
NMB,FLG,1,1
NMB,FLI1,1,1
NMB,FLNB,1,1
NMB,FLNC,1,1
NMB,FMNL1,1,1
NMB,FOSL2,1,1
NMB,FOXG1,1,1
NMB,FOXR2,1,1
NMB,FZD2,1,1
NMB,GABRQ,1,1
NMB,GALNT13,1,1
NMB,GALNT14,1,1
NMB,GALNT16,1,1
NMB,GGT1,1,1
NMB,GJA1,1,1
NMB,GLIPR1,1,1
NMB,GLIS3,1,1
NMB,GNB5,1,1
NMB,GPR176,1,1
NMB,GPR39,1,1
NMB,GPRC5A,1,1
NMB,GTF2H2C,1,1
NMB,GTF3A,1,1
NMB,HBE1,1,1
NMB,HBEGF,1,1
NMB,HECW2,1,1
NMB,HOXA7,1,1
NMB,HOXD9,1,1
NMB,IFFO2,1,1
NMB,IL31RA,1,1
NMB,ILDR2,1,1
NMB,INTS7,1,1
NMB,ITGA3,1,1
NMB,JMJD1C,1,1
NMB,KIAA1958,1,1
NMB,KIF5A,1,1
NMB,KIF5C,1,1
NMB,KLC2,1,1
NMB,KLF7,1,1
NMB,KLHL28,1,1
NMB,KRT80,1,1
NMB,KRT81,1,1
NMB,KRT85,1,1
NMB,KRT87P,1,1
NMB,KRTAP2-3,1,1
NMB,LAPTM5,1,1
NMB,LAT,1,1
NMB,LAYN,1,1
NMB,LEPROTL1,1,1
NMB,LFNG,1,1
NMB,LIG4,1,1
NMB,LRFN4,1,1
NMB,LRRC15,1,1
NMB,LTN1,1,1
NMB,LY6K,1,1
NMB,MAP1B,1,1
NMB,MAP3K7CL,1,1
NMB,MAPK9,1,1
NMB,MAPKAPK2,1,1
NMB,MARCH5,1,1
NMB,MB21D2,1,1
NMB,MCL1,1,1
NMB,MCU,1,1
NMB,MDK,1,1
NMB,MEX3A,1,1
NMB,MICAL2,1,1
NMB,MICU2,1,1
NMB,MINK1,1,1
NMB,MLLT11,1,1
NMB,MPP4,1,1
NMB,MRPL52,1,1
NMB,MRPS21,1,1
NMB,MT1E,1,1
NMB,MT1M,1,1
NMB,MTCL1,1,1
NMB,MTMR1,1,1
NMB,MUS81,1,1
NMB,MXD1,1,1
NMB,MYH9,1,1
NMB,MYL6B,1,1
NMB,NAP1L3,1,1
NMB,NAPRT,1,1
NMB,NDRG4,1,1
NMB,NECTIN3,1,1
NMB,NEGR1,1,1
NMB,NFASC,1,1
NMB,NFE2L1,1,1
NMB,NHS,1,1
NMB,NLRC5,1,1
NMB,NOX4,1,1
NMB,NR3C1,1,1
NMB,NSUN6,1,1
NMB,NUDT21,1,1
NMB,NUDT5,1,1
NMB,NUTF2,1,1
NMB,OCIAD2,1,1
NMB,OLIG2,1,1
NMB,OR51B4,1,1
NMB,P4HTM,1,1
NMB,PARP16,1,1
NMB,PAX6,1,1
NMB,PCDH17,1,1
NMB,PCID2,1,1
NMB,PCNP,1,1
NMB,PDLIM1,1,1
NMB,PDLIM7,1,1
NMB,PFKP,1,1
NMB,PHF11,1,1
NMB,PHKB,1,1
NMB,PIANP,1,1
NMB,PIBF1,1,1
NMB,PIH1D1,1,1
NMB,PIM1,1,1
NMB,PKIA,1,1
NMB,PKP3,1,1
NMB,PLCE1,1,1
NMB,PLCXD2,1,1
NMB,PLEKHG4B,1,1
NMB,PLRG1,1,1
NMB,POLR2M,1,1
NMB,PPM1A,1,1
NMB,PPM1L,1,1
NMB,PPP4C,1,1
NMB,PPP6C,1,1
NMB,PRDM4,1,1
NMB,PRKAG2,1,1
NMB,PRR3,1,1
NMB,PRTFDC1,1,1
NMB,PSG5,1,1
NMB,PSMD7,1,1
NMB,PSTPIP2,1,1
NMB,PTPN22,1,1
NMB,RAB11FIP5,1,1
NMB,RAB31,1,1
NMB,RAC2,1,1
NMB,RAD51C,1,1
NMB,RAPH1,1,1
NMB,RASA1,1,1
NMB,RASA3,1,1
NMB,RASGRF1,1,1
NMB,RBM15B,1,1
NMB,RBM7,1,1
NMB,RFFL,1,1
NMB,RGMB,1,1
NMB,RNFT1,1,1
NMB,ROBO4,1,1
NMB,RP11-382A20.3,1,1
NMB,RP5-1187M17.10,1,1
NMB,RPL21,1,1
NMB,RPL22L1,1,1
NMB,RPL24,1,1
NMB,RPL35,1,1
NMB,RPL4,1,1
NMB,RPRD1A,1,1
NMB,RPS16P9,1,1
NMB,RPS23,1,1
NMB,RPS2P2,1,1
NMB,RPSA,1,1
NMB,RSPRY1,1,1
NMB,S100A16,1,1
NMB,S100A2,1,1
NMB,SAMD10,1,1
NMB,SCFD1,1,1
NMB,SDHAF2,1,1
NMB,SH3BGRL2,1,1
NMB,SH3RF1,1,1
NMB,SH3RF2,1,1
NMB,SIM2,1,1
NMB,SIPA1L3,1,1
NMB,SLC16A3,1,1
NMB,SLC35F3,1,1
NMB,SLC39A11,1,1
NMB,SLC8A1,1,1
NMB,SMURF2,1,1
NMB,SNX6,1,1
NMB,SOX11,1,1
NMB,SOX9,1,1
NMB,SP140,1,1
NMB,SP6,1,1
NMB,SPCS2,1,1
NMB,SPIN1,1,1
NMB,SPTLC3,1,1
NMB,SSSCA1,1,1
NMB,STAC,1,1
NMB,STARD4,1,1
NMB,STC2,1,1
NMB,STK33,1,1
NMB,SUPT4H1,1,1
NMB,TAGLN2,1,1
NMB,TBC1D23,1,1
NMB,TDP1,1,1
NMB,TGFB2,1,1
NMB,TGFBI,1,1
NMB,THAP11,1,1
NMB,THOC6,1,1
NMB,TMEM132A,1,1
NMB,TMEM183A,1,1
NMB,TMEM223,1,1
NMB,TMPRSS15,1,1
NMB,TNFAIP2,1,1
NMB,TNFRSF10A,1,1
NMB,TOMM70,1,1
NMB,TRHDE,1,1
NMB,TRMT112,1,1
NMB,TTC5,1,1
NMB,TUBB2B,1,1
NMB,TUFT1,1,1
NMB,UBB,1,1
NMB,UBE2G2,1,1
NMB,UBXN2B,1,1
NMB,UCHL1,1,1
NMB,UCP2,1,1
NMB,UIMC1,1,1
NMB,VCL,1,1
NMB,WDFY2,1,1
NMB,WDR66,1,1
NMB,XDH,1,1
NMB,YWHAB,1,1
NMB,YY1AP1,1,1
NMB,ZC3H11A,1,1
NMB,ZCCHC11,1,1
NMB,ZDHHC2,1,1
NMB,ZNF175,1,1
NMB,ZNF185,1,1
NMB,ZNF284,1,1
NMB,ZNF485,1,1
NMB,ZNF496,1,1
NMB,ZNF518B,1,1
NMB,ZNF660,1,1
NMB,ZNF711,1,1
NMB,ZNF780B,1,1
NMB,ZNF865,1,1
NMB,ZNF883,1,1
NMB,ZXDB,1,1
RGAG1,ADGRE1,1,1
RGAG1,AGRN,1,1
RGAG1,AHNAK2,1,1
RGAG1,ANTXR2,1,1
RGAG1,APLP1,1,1
RGAG1,BACH1,1,1
RGAG1,BCAM,1,1
RGAG1,BMP2,1,1
RGAG1,CCDC85B,1,1
RGAG1,CD151,1,1
RGAG1,CMTM6,1,1
RGAG1,CRISPLD2,1,1
RGAG1,CYB5R2,1,1
RGAG1,DCBLD2,1,1
RGAG1,DNTTIP1,1,1
RGAG1,DUSP1,1,1
RGAG1,EEF1A2,1,1
RGAG1,FLRT3,1,1
RGAG1,GEM,1,1
RGAG1,GLIS1,1,1
RGAG1,GPT2,1,1
RGAG1,HSPA5,1,1
RGAG1,IRAK2,1,1
RGAG1,KCNG1,1,1
RGAG1,LOXL2,1,1
RGAG1,MANF,1,1
RGAG1,MARS,1,1
RGAG1,MYRF,1,1
RGAG1,NALCN,1,1
RGAG1,NPDC1,1,1
RGAG1,NTN4,1,1
RGAG1,PALM2,1,1
RGAG1,PLIN3,1,1
RGAG1,PMEPA1,1,1
RGAG1,RP11-381O7.3,1,1
RGAG1,SDC4,1,1
RGAG1,SLC35F1,1,1
RGAG1,SLITRK5,1,1
RGAG1,SMAD3,1,1
RGAG1,SPEG,1,1
RGAG1,SPRED3,1,1
RGAG1,STX1A,1,1
RGAG1,SYNGR3,1,1
RGAG1,SYT1,1,1
RGAG1,THSD4,1,1
RGAG1,TOX2,1,1
RGAG1,TWF2,1,1
RGAG1,ZBTB26,1,1
SHC3,ADAMTS16,1,1
SHC3,ADAMTS4,1,1
SHC3,ADAMTS6,1,1
SHC3,ADAMTSL1,1,1
SHC3,ADCY7,1,1
SHC3,ADGRE1,1,1
SHC3,ADGRL3,1,1
SHC3,ADRA1B,1,1
SHC3,AGAP2,1,1
SHC3,AGRN,1,1
SHC3,AHNAK2,1,1
SHC3,AMPD3,1,1
SHC3,ANKEF1,1,1
SHC3,ANTXR2,1,1
SHC3,AQP7,1,1
SHC3,AQP7P1,1,1
SHC3,ARC,1,1
SHC3,ARFGEF3,1,1
SHC3,ARFRP1,1,1
SHC3,ARHGAP30,1,1
SHC3,ARHGEF4,1,1
