source,target,weight,correlation
MYH14,AK1,1,1
MYH14,CHRNA2,1,1
MYH14,CPAMD8,1,1
MYH14,CREB3L3,1,1
MYH14,DTNA,1,1
MYH14,ERICH3,1,1
MYH14,FBLN2,1,1
MYH14,FGFBP2,1,1
MYH14,FLG,1,1
MYH14,GRM4,1,1
MYH14,GSDMB,1,1
MYH14,IQCA1,1,1
MYH14,KCNQ3,1,1
MYH14,KLRC4-KLRK1,1,1
MYH14,MUC16,1,1
MYH14,PGGHG,1,1
MYH14,PPL,1,1
MYH14,PTPN21,1,1
MYH14,RN7SKP9,1,1
MYH14,RNU6-242P,1,1
MYH14,SLC7A8,1,1
MYH14,SNORA71A,1,1
MYH14,SPINK5,1,1
MYH14,TTC16,1,1
NTN4,COL27A1,1,1
NTN4,DNAH2,1,1
NTN4,ERICH3,1,1
NTN4,FBLN2,1,1
NTN4,MAP1B,1,1
NTN4,PPL,1,1
NTN4,PTPN21,1,1
RNY1,CREB3L3,1,1
RNY1,RN7SKP80,1,1
RNY1,RNU4-2,1,1
RNY1,RPTN,1,1
RNY1,SNORA54,1,1
RNY1,SNORA71A,1,1
RNY1,SPINK5,1,1
MYO7A,AK1,1,1
MYO7A,CD40LG,1,1
MYO7A,CHRNA2,1,1
MYO7A,DAPK2,1,1
MYO7A,ERICH3,1,1
MYO7A,GSDMB,1,1
MYO7A,H3C15,1,1
MYO7A,IQCA1,1,1
MYO7A,KCNQ3,1,1
MYO7A,KLRC3,1,1
MYO7A,KLRC4-KLRK1,1,1
MYO7A,MAP1B,1,1
MYO7A,PGGHG,1,1
MYO7A,PPL,1,1
MYO7A,RN7SKP80,1,1
MYO7A,RN7SKP9,1,1
SPINK5,CREB3L3,1,1
SPINK5,DTNA,1,1
SPINK5,POF1B,1,1
SPINK5,RNU4-2,1,1
SPINK5,RPTN,1,1
SPINK5,SLC7A8,1,1
SPINK5,SNORA71A,1,1
RN7SKP230,PGGHG,1,1
RNU4-1,RNU4-2,1,1
MECOM,ABLIM3,1,1
MECOM,DAPK2,1,1
MECOM,GLIS3,1,1
MECOM,HTR2B,1,1
MECOM,NRCAM,1,1
MECOM,PCLO,1,1
CCL5,ABLIM3,1,1
CCL5,DAPK2,1,1
CCL5,DNAH2,1,1
CCL5,ERICH3,1,1
CCL5,FBLN2,1,1
CCL5,FGFBP2,1,1
CCL5,GLIS3,1,1
CCL5,GRM4,1,1
CCL5,GSDMB,1,1
CCL5,IQSEC3,1,1
CCL5,KCNQ3,1,1
CCL5,NRCAM,1,1
CCL5,PPL,1,1
CCL5,RNU6-9,1,1
SLC7A8,ERICH3,1,1
SLC7A8,FGFBP2,1,1
SLC7A8,GRM4,1,1
SLC7A8,GSDMB,1,1
SLC7A8,IQSEC3,1,1
SLC7A8,KLRC4,1,1
SLC7A8,KLRC4-KLRK1,1,1
SLC7A8,LINC02265,1,1
SLC7A8,MUC16,1,1
SLC7A8,NRCAM,1,1
SLC7A8,PGGHG,1,1
SLC7A8,PPL,1,1
SLC7A8,PTPN21,1,1
SLC7A8,RN7SKP9,1,1
SLC7A8,RPTN,1,1
SLC7A8,SNORA71A,1,1
SLC7A8,TTC16,1,1
GRM4,CREB3L3,1,1
GRM4,DTNA,1,1
GRM4,ERICH3,1,1
GRM4,GSDMB,1,1
GRM4,HTR2B,1,1
GRM4,IQSEC3,1,1
GRM4,KLRC4-KLRK1,1,1
GRM4,MT-TQ,1,1
GRM4,NCAPGP1,1,1
GRM4,NRCAM,1,1
GRM4,PGGHG,1,1
GRM4,PKNOX2,1,1
GRM4,POF1B,1,1
GRM4,PPL,1,1
GRM4,PTPN21,1,1
GRM4,RN7SKP9,1,1
GRM4,RNU6-242P,1,1
GRM4,RNU6-9,1,1
GRM4,RPTN,1,1
GRM4,SNORA71A,1,1
PCLO,DAPK2,1,1
PCLO,DGKI,1,1
PCLO,DNAH2,1,1
PCLO,GLIS3,1,1
PCLO,HTR2B,1,1
RNU4-2,RPTN,1,1
RNU4-2,SNORA54,1,1
RNU4-2,SNORA71A,1,1
DAPK2,ABLIM3,1,1
DAPK2,AK1,1,1
DAPK2,COL27A1,1,1
DAPK2,DNAH2,1,1
DAPK2,ERICH3,1,1
DAPK2,FBLN2,1,1
DAPK2,GLIS3,1,1
DAPK2,GSDMB,1,1
DAPK2,H3C15,1,1
DAPK2,HTR2B,1,1
DAPK2,IQCA1,1,1
DAPK2,KCNQ3,1,1
DAPK2,KLRC3,1,1
DAPK2,KLRC4-KLRK1,1,1
DAPK2,MAP1B,1,1
DAPK2,MT-TE,1,1
DAPK2,NRCAM,1,1
DAPK2,PGGHG,1,1
DAPK2,PKNOX2,1,1
DAPK2,PPL,1,1
RYR2,AK1,1,1
RYR2,CACNG8,1,1
RYR2,DGKI,1,1
RYR2,EIF4HP1,1,1
RYR2,NRCAM,1,1
RYR2,PPIAP41,1,1
RYR2,SPTBN4,1,1
GSDMB,AK1,1,1
GSDMB,COL27A1,1,1
GSDMB,DNAH2,1,1
GSDMB,EIF4HP1,1,1
GSDMB,ERICH3,1,1
GSDMB,FBLN2,1,1
GSDMB,H3C15,1,1
GSDMB,HTR2B,1,1
GSDMB,IGSF11,1,1
GSDMB,IQCA1,1,1
GSDMB,IQSEC3,1,1
GSDMB,KCNQ3,1,1
GSDMB,KLRC4,1,1
GSDMB,KLRC4-KLRK1,1,1
GSDMB,NCAPGP1,1,1
GSDMB,NRCAM,1,1
GSDMB,PGGHG,1,1
GSDMB,PKNOX2,1,1
GSDMB,PPIAP41,1,1
GSDMB,PPL,1,1
GSDMB,PTPN21,1,1
GSDMB,RN7SKP9,1,1
FBLN2,AK1,1,1
FBLN2,COL27A1,1,1
FBLN2,DNAH2,1,1
FBLN2,ERICH3,1,1
FBLN2,FGFBP2,1,1
FBLN2,IQCA1,1,1
FBLN2,IQSEC3,1,1
FBLN2,KCNQ3,1,1
FBLN2,KLRC3,1,1
FBLN2,KLRC4-KLRK1,1,1
FBLN2,MAP1B,1,1
FBLN2,NRCAM,1,1
FBLN2,PPL,1,1
FBLN2,PTPN21,1,1
FBLN2,RN7SKP9,1,1
FBLN2,TTC16,1,1
RNU6-242P,CPAMD8,1,1
RNU6-242P,CREB3L3,1,1
RNU6-242P,ERICH3,1,1
RNU6-242P,FLG,1,1
RNU6-242P,PPL,1,1
RNU6-242P,PTPN21,1,1
RNU6-242P,TTC16,1,1
NCAPGP1,ABLIM3,1,1
NCAPGP1,EIF4HP1,1,1
NCAPGP1,HTR2B,1,1
NCAPGP1,IGSF11,1,1
NCAPGP1,IQSEC3,1,1
NCAPGP1,RNU6-9,1,1
NCAPGP1,RPL13P12,1,1
FGFBP2,CREB3L3,1,1
FGFBP2,DNAH2,1,1
FGFBP2,ERICH3,1,1
FGFBP2,IQSEC3,1,1
FGFBP2,KCNQ3,1,1
FGFBP2,KLRC4-KLRK1,1,1
FGFBP2,LINC02265,1,1
FGFBP2,PPL,1,1
FGFBP2,PTPN21,1,1
