,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,38.03434776304622,2.0603531762860983,0.6159900419830592,3.344783252750637,0.0008234689618971528,0.0022796966253188617
A1BG-AS1,237.0121291072467,0.933005282029218,0.30481917315133106,3.060848411809111,0.002207108057232344,0.005507283408567561
A2M,26.386783862814468,2.944363168674208,0.6952308841399388,4.235086840707087,2.2846339810813617e-05,9.000852306060729e-05
A2M-AS1,496.4494850876048,-3.012939804669873,0.7565247575337016,-3.982605690912439,6.816379536677307e-05,0.00024127625162963598
A2ML1,17.67237837638693,7.324623780308522,2.004684955748878,3.653753054465512,0.00025843483652543533,0.0007985175229374845
AAAS,1441.5542867305803,0.8169490483315345,0.1830640384162812,4.462640808097007,8.095569551664665e-06,3.4934455844008985e-05
AACS,1361.7432557064826,1.0847003562861246,0.1675965744918597,6.472091446826137,9.665559170122732e-11,9.223554495777325e-10
AADAT,103.34044534686848,4.44208829740878,0.7329484483586829,6.060573983553828,1.3563664435672873e-09,1.0953128302615383e-08
AAGAB,2994.729577895864,0.5713962256235885,0.18691830393810727,3.0569302929946884,0.002236162717159116,0.005570958824927557
AAK1,8924.103796233227,-1.9398587600447827,0.23931129879297264,-8.106005733239314,5.231097783414829e-16,9.549935756396367e-15
AAMDC,322.0756308790253,1.3134551896193924,0.2689593288285757,4.883471398222213,1.0423427542953992e-06,5.330123367063945e-06
AAMP,2517.8348720264053,0.8933392439837144,0.1344100824064097,6.646370778068306,3.0040794674743427e-11,3.067353986393926e-10
AAR2,2299.438387218067,0.17984866018816012,0.11605242665116537,1.5497190828138028,0.12120895586614146,0.18085491994232963
AARS1,2432.259567086136,0.6945450828903752,0.14719501075709257,4.718536853375709,2.3754693960761194e-06,1.14136994007866e-05
AARS2,1746.9332032321963,-0.05848957088866135,0.16924639075618678,-0.345588290700511,0.7296521470479851,0.7896178831313589
AARSD1,91.80342570585974,-1.4976296081144251,0.4176712480526812,-3.585666035421064,0.0003362190061953874,0.0010132231145004455
AASDH,1904.2874993163116,-0.3583510621485658,0.1632810653866921,-2.1946884122779156,0.02818595652021236,0.051708167789467366
AASDHPPT,3979.712368801726,0.20527060994303858,0.1909766237748409,1.0748467843114147,0.282443330568112,0.3663067725634347
AASS,204.99977167456672,1.7373048407502714,0.3915841157393948,4.436607030062666,9.138790587922096e-06,3.901941618230695e-05
AATBC,8.436147604934158,2.820220449912085,1.4526959616270536,1.9413700625651713,0.052213406847965584,0.08813180039529653
AATF,4358.880523425433,-0.2692241758454214,0.2023453983485667,-1.3305179067212942,0.1833476904526251,0.25614362646120264
ABALON,39.036578389412554,0.3086212582197115,0.49863462397566144,0.6189326680908052,0.535960716449846,0.6172559274610617
ABAT,658.0468913124618,0.309368369736653,0.2283961624065097,1.3545252533009962,0.17556886225551904,0.24708239614432356
ABCA1,4969.573166524447,1.5521960011432954,0.7133679497875856,2.175870112479095,0.029564974195638596,0.05387418094521005
ABCA10,89.72170681905416,-0.4213579385865161,0.41487037365584517,-1.0156375710164658,0.3098020066608248,0.39572974014442147
ABCA11P,49.575322362248194,-0.1246878581173181,0.43068053672451145,-0.28951356628654845,0.7721883998027408,0.8255270573983927
ABCA13,94.46313042554893,1.297641685102685,0.710049822847557,1.8275361014790088,0.06761920330173198,0.11020384276598606
ABCA2,705.276325024184,-1.1395449733719272,0.32710692127343516,-3.483707923194199,0.000494518836230111,0.0014409366126882557
ABCA3,119.29525513569547,-0.07324272197370532,0.3865131203433953,-0.18949608206995214,0.8497040255258455,0.8885038111209727
ABCA5,1600.4246024682893,-0.4901787416465852,0.2691803172533875,-1.821005141268057,0.06860607534821132,0.11160441064647077
ABCA6,46.633784690814174,2.152266643843335,0.5552430520681829,3.8762603797139277,0.00010607417113489547,0.00035893439996354773
ABCA7,2359.185576031327,-1.4029216260962665,0.28174885419282497,-4.979333918199812,6.380347783405595e-07,3.380039654591632e-06
ABCA8,22.142782572908494,5.1828556457084725,1.0799956925584915,4.798959552727822,1.5949199659244664e-06,7.914319389965345e-06
ABCA9,28.924111708471553,3.524056909465021,0.7633908338716321,4.6163207011437715,3.906031854290514e-06,1.7967746529736363e-05
ABCB1,1629.8965315789312,-0.054547268565873046,0.17381668526193322,-0.3138206696536238,0.7536572447608173,0.8095912708825634
ABCB10,2487.1499819364594,0.029907913651216443,0.16157896036769068,0.18509782203795408,0.8531523098531577,0.8911632063738314
ABCB4,25.24113892909718,0.5582622411992961,0.8989160257341259,0.621039368770153,0.5345737204370831,0.6160187950180108
