source,target,weight,correlation
MARCHF1,MPEG1,1,1
MARCHF1,MS4A3,1,1
MARCHF1,NAPSB,1,1
MARCHF1,NELL2,1,1
MARCHF1,PADI2,1,1
MARCHF1,REXO1L1P,1,1
MARCHF1,RPSAP15,1,1
MARCHF1,SLC24A4,1,1
MARCHF1,THBD,1,1
MARCHF1,TIFAB,1,1
MARCHF1,TLR10,1,1
MARCHF1,WDFY4,1,1
MARCHF1,XCR1,1,1
MARCHF1,ZBTB7B,1,1
THBD,AMPH,1,1
THBD,CADM1,1,1
THBD,CLEC7A,1,1
THBD,CPVL,1,1
THBD,DNASE1L3,1,1
THBD,EOMES,1,1
THBD,G0S2,1,1
THBD,HLA-DPA1,1,1
THBD,HLA-DPB1,1,1
THBD,HLA-DRA,1,1
THBD,IL12B,1,1
THBD,LYZ,1,1
THBD,MPEG1,1,1
THBD,NAPSB,1,1
THBD,REXO1L1P,1,1
THBD,RPSAP15,1,1
THBD,SLC24A4,1,1
THBD,SNCAIP,1,1
THBD,TLR10,1,1
THBD,WDFY4,1,1
THBD,XCR1,1,1
DNASE1L3,AMPH,1,1
DNASE1L3,CADM1,1,1
DNASE1L3,CCR4,1,1
DNASE1L3,CLEC7A,1,1
DNASE1L3,CPVL,1,1
DNASE1L3,EOMES,1,1
DNASE1L3,HCAR1,1,1
DNASE1L3,HLA-DPA1,1,1
DNASE1L3,HLA-DPB1,1,1
DNASE1L3,HLA-DRA,1,1
DNASE1L3,LYZ,1,1
DNASE1L3,MNDA,1,1
DNASE1L3,MPEG1,1,1
DNASE1L3,MS4A3,1,1
DNASE1L3,NAPSB,1,1
DNASE1L3,NELL2,1,1
DNASE1L3,PADI2,1,1
DNASE1L3,REXO1L1P,1,1
DNASE1L3,RPSAP15,1,1
DNASE1L3,SLC24A4,1,1
DNASE1L3,SNCAIP,1,1
DNASE1L3,TIFAB,1,1
DNASE1L3,TLR10,1,1
DNASE1L3,WDFY4,1,1
DNASE1L3,XCR1,1,1
DNASE1L3,ZBTB7B,1,1
ZBTB7B,AMPH,1,1
ZBTB7B,CADM1,1,1
ZBTB7B,CCR4,1,1
ZBTB7B,CLEC7A,1,1
ZBTB7B,CPVL,1,1
ZBTB7B,HCAR1,1,1
ZBTB7B,HLA-DPA1,1,1
ZBTB7B,HLA-DPB1,1,1
ZBTB7B,HLA-DRA,1,1
ZBTB7B,IL12B,1,1
ZBTB7B,LYZ,1,1
ZBTB7B,MNDA,1,1
ZBTB7B,MPEG1,1,1
ZBTB7B,MS4A3,1,1
ZBTB7B,NAPSB,1,1
ZBTB7B,NELL2,1,1
ZBTB7B,REXO1L1P,1,1
ZBTB7B,RPS27P29,1,1
ZBTB7B,RPSAP15,1,1
ZBTB7B,SLC24A4,1,1
ZBTB7B,TIFAB,1,1
ZBTB7B,TLR10,1,1
ZBTB7B,WDFY4,1,1
ZBTB7B,XCR1,1,1
CLEC7A,AMPH,1,1
CLEC7A,CADM1,1,1
CLEC7A,CPVL,1,1
CLEC7A,HCAR1,1,1
CLEC7A,HLA-DPA1,1,1
CLEC7A,HLA-DPB1,1,1
CLEC7A,HLA-DRA,1,1
CLEC7A,IL12B,1,1
CLEC7A,LYZ,1,1
CLEC7A,MNDA,1,1
CLEC7A,MPEG1,1,1
CLEC7A,NAPSB,1,1
CLEC7A,REXO1L1P,1,1
CLEC7A,RPS27P29,1,1
CLEC7A,RPSAP15,1,1
CLEC7A,SLC24A4,1,1
CLEC7A,TIFAB,1,1
CLEC7A,TLR10,1,1
CLEC7A,WDFY4,1,1
CLEC7A,XCR1,1,1
EOMES,CADM1,1,1
EOMES,CPVL,1,1
EOMES,HLA-DRA,1,1
EOMES,MPEG1,1,1
EOMES,PADI2,1,1
EOMES,WDFY4,1,1
WDFY4,AMPH,1,1
WDFY4,CADM1,1,1
WDFY4,CCR4,1,1
WDFY4,CPVL,1,1
WDFY4,HLA-DPA1,1,1
WDFY4,HLA-DPB1,1,1
WDFY4,HLA-DRA,1,1
WDFY4,LYZ,1,1
WDFY4,MNDA,1,1
WDFY4,MPEG1,1,1
WDFY4,MS4A3,1,1
WDFY4,NAPSB,1,1
WDFY4,NELL2,1,1
WDFY4,PADI2,1,1
WDFY4,REXO1L1P,1,1
WDFY4,RPS27P29,1,1
WDFY4,RPSAP15,1,1
WDFY4,SLC24A4,1,1
WDFY4,SNCAIP,1,1
WDFY4,TIFAB,1,1
WDFY4,TLR10,1,1
WDFY4,XCR1,1,1
MPEG1,AMPH,1,1
MPEG1,CADM1,1,1
MPEG1,CPVL,1,1
MPEG1,ELANE,1,1
MPEG1,HCAR1,1,1
MPEG1,HLA-DPA1,1,1
MPEG1,HLA-DPB1,1,1
MPEG1,HLA-DRA,1,1
MPEG1,IL12B,1,1
MPEG1,LYZ,1,1
MPEG1,MNDA,1,1
MPEG1,MS4A3,1,1
MPEG1,NAPSB,1,1
MPEG1,PADI2,1,1
MPEG1,REXO1L1P,1,1
MPEG1,RPSAP15,1,1
MPEG1,SLC24A4,1,1
MPEG1,SNCAIP,1,1
MPEG1,TLR10,1,1
MPEG1,XCR1,1,1
RPSAP15,AMPH,1,1
RPSAP15,CADM1,1,1
RPSAP15,CPVL,1,1
RPSAP15,HCAR1,1,1
RPSAP15,HLA-DPA1,1,1
RPSAP15,HLA-DPB1,1,1
RPSAP15,HLA-DRA,1,1
RPSAP15,IL12B,1,1
RPSAP15,LYZ,1,1
RPSAP15,MNDA,1,1
RPSAP15,NAPSB,1,1
RPSAP15,NELL2,1,1
RPSAP15,REXO1L1P,1,1
RPSAP15,RPS27P29,1,1
RPSAP15,SLC24A4,1,1
RPSAP15,TIFAB,1,1
RPSAP15,TLR10,1,1
RPSAP15,XCR1,1,1
NAPSB,AMPH,1,1
NAPSB,CADM1,1,1
NAPSB,CPVL,1,1
NAPSB,HCAR1,1,1
NAPSB,HLA-DPA1,1,1
NAPSB,HLA-DPB1,1,1
NAPSB,HLA-DRA,1,1
NAPSB,IL12B,1,1
NAPSB,LYZ,1,1
NAPSB,MNDA,1,1
NAPSB,MS4A3,1,1
NAPSB,SLC24A4,1,1
NAPSB,TLR10,1,1
NAPSB,XCR1,1,1
HLA-DRA,AMPH,1,1
HLA-DRA,CADM1,1,1
HLA-DRA,CCR4,1,1
HLA-DRA,CPVL,1,1
HLA-DRA,HCAR1,1,1
HLA-DRA,HLA-DPA1,1,1
HLA-DRA,HLA-DPB1,1,1
HLA-DRA,LYZ,1,1
HLA-DRA,MNDA,1,1
HLA-DRA,REXO1L1P,1,1
HLA-DRA,RPS27P29,1,1
HLA-DRA,SLC24A4,1,1
HLA-DRA,TIFAB,1,1
HLA-DRA,TLR10,1,1
SNCAIP,AMPH,1,1
SNCAIP,CADM1,1,1
SNCAIP,ELANE,1,1
SNCAIP,HLA-DPA1,1,1
SNCAIP,HLA-DPB1,1,1
SNCAIP,LYZ,1,1
SNCAIP,PADI2,1,1
SNCAIP,SLC24A4,1,1
MNDA,AMPH,1,1
MNDA,CADM1,1,1
MNDA,CCR4,1,1
MNDA,CPVL,1,1
MNDA,HLA-DPA1,1,1
MNDA,HLA-DPB1,1,1
MNDA,LYZ,1,1
MNDA,NELL2,1,1
MNDA,REXO1L1P,1,1
MNDA,RPS27P29,1,1
MNDA,SLC24A4,1,1
MNDA,TIFAB,1,1
MNDA,TLR10,1,1
NELL2,CADM1,1,1
NELL2,CCR4,1,1
NELL2,CPVL,1,1
NELL2,LYZ,1,1
NELL2,REXO1L1P,1,1
NELL2,TLR10,1,1
TLR10,AMPH,1,1
TLR10,CADM1,1,1
TLR10,CPVL,1,1
TLR10,HCAR1,1,1
TLR10,HLA-DPA1,1,1
TLR10,HLA-DPB1,1,1
TLR10,IL12B,1,1
TLR10,LYZ,1,1
TLR10,PADI2,1,1
TLR10,REXO1L1P,1,1
TLR10,RPS27P29,1,1
TLR10,SLC24A4,1,1
TLR10,TIFAB,1,1
TLR10,XCR1,1,1
PADI2,AMPH,1,1
PADI2,CADM1,1,1
PADI2,LYZ,1,1
PADI2,REXO1L1P,1,1
PADI2,SLC24A4,1,1
HLA-DPA1,AMPH,1,1
HLA-DPA1,CADM1,1,1
HLA-DPA1,CCR4,1,1
HLA-DPA1,CPVL,1,1
HLA-DPA1,HCAR1,1,1
HLA-DPA1,HLA-DPB1,1,1
HLA-DPA1,IL12B,1,1
HLA-DPA1,LYZ,1,1
HLA-DPA1,MS4A3,1,1
HLA-DPA1,REXO1L1P,1,1
HLA-DPA1,RPS27P29,1,1
HLA-DPA1,SLC24A4,1,1
HLA-DPA1,TIFAB,1,1
SLC24A4,ACP3,1,1
SLC24A4,AMPH,1,1
SLC24A4,CADM1,1,1
SLC24A4,CPVL,1,1
SLC24A4,HCAR1,1,1
SLC24A4,HLA-DPB1,1,1
SLC24A4,IL12B,1,1
SLC24A4,LYZ,1,1
SLC24A4,MS4A3,1,1
SLC24A4,REXO1L1P,1,1
SLC24A4,TIFAB,1,1
SLC24A4,XCR1,1,1
TIFAB,AMPH,1,1
TIFAB,CADM1,1,1
TIFAB,CCR4,1,1
TIFAB,CPVL,1,1
TIFAB,HCAR1,1,1
TIFAB,HLA-DPB1,1,1
TIFAB,LYZ,1,1
TIFAB,REXO1L1P,1,1
TIFAB,RPS27P29,1,1
HLA-DPB1,AMPH,1,1
HLA-DPB1,CADM1,1,1
HLA-DPB1,CPVL,1,1
HLA-DPB1,G0S2,1,1
HLA-DPB1,HCAR1,1,1
HLA-DPB1,IL12B,1,1
HLA-DPB1,LYZ,1,1
HLA-DPB1,MS4A3,1,1
HLA-DPB1,REXO1L1P,1,1
HLA-DPB1,RPS27P29,1,1
HLA-DPB1,XCR1,1,1
RPS27P29,CPVL,1,1
RPS27P29,HCAR1,1,1
RPS27P29,REXO1L1P,1,1
HCAR1,AMPH,1,1
HCAR1,CPVL,1,1
HCAR1,IL12B,1,1
HCAR1,PKD1P5,1,1
HCAR1,REXO1L1P,1,1
HCAR1,XCR1,1,1
XCR1,AMPH,1,1
XCR1,CADM1,1,1
XCR1,IL12B,1,1
XCR1,MS4A3,1,1
CCR4,CADM1,1,1
CCR4,CPVL,1,1
CCR4,LYZ,1,1
CCR4,REXO1L1P,1,1
AMPH,CADM1,1,1
AMPH,CPVL,1,1
AMPH,IL12B,1,1
AMPH,LYZ,1,1
AMPH,REXO1L1P,1,1
CADM1,CPVL,1,1
CADM1,ELANE,1,1
CADM1,IL12B,1,1
CADM1,LYZ,1,1
CADM1,MS4A3,1,1
CADM1,REXO1L1P,1,1
REXO1L1P,CPVL,1,1
REXO1L1P,LYZ,1,1
MS4A3,ACP3,1,1
MS4A3,ELANE,1,1
MS4A3,IL12B,1,1
MS4A3,LYZ,1,1
IL12B,ACP3,1,1
IL12B,G0S2,1,1
ACP3,G0S2,1,1
LYZ,CPVL,1,1
LYZ,ELANE,1,1
