source,target,weight,correlation
NCCRP1,BEAN1,1,1
NCCRP1,CES1,1,1
NCCRP1,DADB-127H9.10,1,1
NCCRP1,EEF1DP5,1,1
NCCRP1,MTCO1P12,1,1
NCCRP1,MTCO1P40,1,1
NCCRP1,MTCO3P22,1,1
NCCRP1,RAB4B-EGLN2,1,1
NCCRP1,RPL13AP5,1,1
EEF1DP5,CES1,1,1
EEF1DP5,DADB-127H9.10,1,1
EEF1DP5,MTCO1P12,1,1
EEF1DP5,MTCO1P40,1,1
EEF1DP5,MTCO3P22,1,1
EEF1DP5,RPL13AP5,1,1
RAB4B-EGLN2,BEAN1,1,1
RAB4B-EGLN2,MTCO1P12,1,1
RAB4B-EGLN2,RPL13AP5,1,1
MTCO3P22,BEAN1,1,1
MTCO3P22,CES1,1,1
MTCO3P22,DADB-127H9.10,1,1
MTCO3P22,MTCO1P12,1,1
MTCO3P22,MTCO1P40,1,1
MTCO3P22,RPL13AP5,1,1
MTCO1P40,BEAN1,1,1
MTCO1P40,CES1,1,1
MTCO1P40,DADB-127H9.10,1,1
MTCO1P40,MTCO1P12,1,1
MTCO1P40,RPL13AP5,1,1
MTCO1P12,BEAN1,1,1
MTCO1P12,CES1,1,1
MTCO1P12,DADB-127H9.10,1,1
MTCO1P12,RPL13AP5,1,1
BEAN1,RPL13AP5,1,1
CES1,DADB-127H9.10,1,1
CES1,RPL13AP5,1,1
RPL13AP5,DADB-127H9.10,1,1
