source,target,weight,correlation
DDX3Y,AAMDC,1,1
DDX3Y,ABHD6,1,1
DDX3Y,ACAD8,1,1
DDX3Y,ACOX3,1,1
DDX3Y,ACTN4,1,1
DDX3Y,ADCY6,1,1
DDX3Y,AEBP1,1,1
DDX3Y,AHRR,1,1
DDX3Y,AIF1L,1,1
DDX3Y,AKT1S1,1,1
DDX3Y,ALAD,1,1
DDX3Y,ALDH1L2,1,1
DDX3Y,ALG9,1,1
DDX3Y,APH1B,1,1
DDX3Y,ARHGAP27,1,1
DDX3Y,ARHGEF10L,1,1
DDX3Y,ARMCX1,1,1
DDX3Y,ASPA,1,1
DDX3Y,ATP10A,1,1
DDX3Y,B3GALT4,1,1
DDX3Y,B3GNT9,1,1
DDX3Y,BCAN,1,1
DDX3Y,BDH2,1,1
DDX3Y,BMF,1,1
DDX3Y,BORCS7-ASMT,1,1
DDX3Y,BPHL,1,1
DDX3Y,C11ORF96,1,1
DDX3Y,C16ORF62,1,1
DDX3Y,C1QTNF1,1,1
DDX3Y,C1QTNF5,1,1
DDX3Y,C21ORF2,1,1
DDX3Y,C2ORF88,1,1
DDX3Y,C3ORF18,1,1
DDX3Y,C9ORF91,1,1
DDX3Y,CA14,1,1
DDX3Y,CAB39L,1,1
DDX3Y,CABLES1,1,1
DDX3Y,CAND2,1,1
DDX3Y,CAPN3,1,1
DDX3Y,CCDC8,1,1
DDX3Y,CCDC80,1,1
DDX3Y,CCDC92,1,1
DDX3Y,CDH1,1,1
DDX3Y,CDH3,1,1
DDX3Y,CDKN1B,1,1
DDX3Y,CELSR2,1,1
DDX3Y,CHCHD6,1,1
DDX3Y,CIB2,1,1
DDX3Y,CLEC11A,1,1
DDX3Y,CNNM1,1,1
DDX3Y,CNNM4,1,1
DDX3Y,CORO2B,1,1
DDX3Y,CPQ,1,1
DDX3Y,CREBL2,1,1
DDX3Y,CRYL1,1,1
DDX3Y,CSAG1,1,1
DDX3Y,CTSC,1,1
DDX3Y,CTSF,1,1
DDX3Y,CTSO,1,1
DDX3Y,CYB561A3,1,1
DDX3Y,CYBRD1,1,1
DDX3Y,CYGB,1,1
DDX3Y,CYP2U1,1,1
DDX3Y,CYSLTR2,1,1
DDX3Y,CYTH1,1,1
DDX3Y,DAB2,1,1
DDX3Y,DCAF11,1,1
DDX3Y,DHFRL1,1,1
DDX3Y,DISC1,1,1
DDX3Y,DISP1,1,1
DDX3Y,DMXL2,1,1
DDX3Y,DOCK8,1,1
DDX3Y,DTX4,1,1
DDX3Y,DUSP11,1,1
DDX3Y,DUSP22,1,1
DDX3Y,EFS,1,1
DDX3Y,EGLN3,1,1
DDX3Y,EIF4EBP3,1,1
DDX3Y,ENPP2,1,1
DDX3Y,EOMES,1,1
DDX3Y,EPB41L4A,1,1
DDX3Y,EPS15,1,1
DDX3Y,ERCC5,1,1
DDX3Y,ERI3,1,1
DDX3Y,ERMAP,1,1
DDX3Y,EVA1B,1,1
DDX3Y,EVC2,1,1
DDX3Y,EXOSC4,1,1
DDX3Y,FAM101B,1,1
DDX3Y,FAM109B,1,1
DDX3Y,FAM124A,1,1
DDX3Y,FAM13A,1,1
DDX3Y,FAM19A5,1,1
DDX3Y,FAM21C,1,1
DDX3Y,FAM69C,1,1
DDX3Y,FBRS,1,1
DDX3Y,FBXL2,1,1
DDX3Y,FBXO18,1,1
DDX3Y,FBXO22,1,1
DDX3Y,FBXW4,1,1
DDX3Y,FDFT1,1,1
DDX3Y,FES,1,1
DDX3Y,FGFR1,1,1
DDX3Y,FHIT,1,1
DDX3Y,FNDC10,1,1
DDX3Y,FOXO3,1,1
DDX3Y,FSTL1,1,1
DDX3Y,GALNTL6,1,1
DDX3Y,GARNL3,1,1
DDX3Y,GBGT1,1,1
DDX3Y,GLUL,1,1
DDX3Y,GPAT4,1,1
DDX3Y,GPRIN3,1,1
DDX3Y,GPX7,1,1
DDX3Y,GRN,1,1
DDX3Y,GSTP1,1,1
DDX3Y,GTF2IRD2B,1,1
DDX3Y,HACD1,1,1
DDX3Y,HEBP1,1,1
DDX3Y,HERC3,1,1
DDX3Y,HES6,1,1
DDX3Y,HIP1R,1,1
DDX3Y,HPGD,1,1
DDX3Y,HPS1,1,1
DDX3Y,HPSE2,1,1
DDX3Y,HRK,1,1
DDX3Y,HSPA12A,1,1
DDX3Y,HSPB6,1,1
DDX3Y,HSPBP1,1,1
DDX3Y,IFI30,1,1
DDX3Y,IGIP,1,1
DDX3Y,IGSF11,1,1
DDX3Y,IL17D,1,1
DDX3Y,ILVBL,1,1
DDX3Y,IRAK3,1,1
DDX3Y,ITPKB,1,1
DDX3Y,KBTBD7,1,1
DDX3Y,KCNE4,1,1
DDX3Y,KCNIP3,1,1
DDX3Y,KCNJ13,1,1
DDX3Y,KCNK6,1,1
DDX3Y,KCTD2,1,1
DDX3Y,KDM5D,1,1
