source,target,weight,correlation
TTC7A,ACSL4,1,1
TTC7A,ACSS1,1,1
TTC7A,ADAM9,1,1
TTC7A,ANXA1,1,1
TTC7A,ARHGAP31,1,1
TTC7A,ARRDC4,1,1
TTC7A,C16ORF91,1,1
TTC7A,C19ORF53,1,1
TTC7A,C1ORF216,1,1
TTC7A,CBR4,1,1
TTC7A,CCT5,1,1
TTC7A,CD63,1,1
TTC7A,CDH2,1,1
TTC7A,CFL2,1,1
TTC7A,CIAO1,1,1
TTC7A,CLPTM1L,1,1
TTC7A,CMSS1,1,1
TTC7A,CNKSR2,1,1
TTC7A,CNPY3,1,1
TTC7A,COPS5,1,1
TTC7A,CWC27,1,1
TTC7A,DDX47,1,1
TTC7A,DPY19L2P1,1,1
TTC7A,DUSP12,1,1
TTC7A,EIF2AK4,1,1
TTC7A,EIF2S3,1,1
TTC7A,EIF3G,1,1
TTC7A,EMD,1,1
TTC7A,EMG1,1,1
TTC7A,FAM69A,1,1
TTC7A,FARSA,1,1
TTC7A,FBXL4,1,1
TTC7A,FCHSD2,1,1
TTC7A,FEZ2,1,1
TTC7A,FKBP3,1,1
TTC7A,FRMD5,1,1
TTC7A,FTSJ1,1,1
TTC7A,GCH1,1,1
TTC7A,GHDC,1,1
TTC7A,GNE,1,1
TTC7A,GSTK1,1,1
TTC7A,GTF2H3,1,1
TTC7A,HN1,1,1
TTC7A,HPS3,1,1
TTC7A,HS1BP3,1,1
TTC7A,IGF2BP1,1,1
TTC7A,ILF2,1,1
TTC7A,ISY1,1,1
TTC7A,KIAA0319L,1,1
TTC7A,KIF3A,1,1
TTC7A,KLHL22,1,1
TTC7A,LAMB3,1,1
TTC7A,LAPTM4A,1,1
TTC7A,LARGE1,1,1
TTC7A,MANBA,1,1
TTC7A,MICALL1,1,1
TTC7A,MNAT1,1,1
TTC7A,MRPL21,1,1
TTC7A,MRPL47,1,1
TTC7A,MRPL54,1,1
TTC7A,MYNN,1,1
TTC7A,NAE1,1,1
TTC7A,NCBP2-AS2,1,1
TTC7A,NCR3LG1,1,1
TTC7A,NFE2L3,1,1
TTC7A,PIP5K1A,1,1
TTC7A,PLAUR,1,1
TTC7A,PLEKHH1,1,1
TTC7A,PPCS,1,1
TTC7A,PSMA6,1,1
TTC7A,PSMB5,1,1
TTC7A,PSMC1,1,1
TTC7A,PSMC5,1,1
TTC7A,PTPRB,1,1
TTC7A,RLIM,1,1
TTC7A,RNF13,1,1
TTC7A,RNF38,1,1
TTC7A,RPL35A,1,1
TTC7A,RUVBL2,1,1
TTC7A,SCN8A,1,1
TTC7A,SDCBP,1,1
TTC7A,SEC13,1,1
TTC7A,SEPT9,1,1
TTC7A,SERINC1,1,1
TTC7A,SIX1,1,1
TTC7A,SIX4,1,1
TTC7A,SLC10A3,1,1
TTC7A,SLC2A4RG,1,1
TTC7A,SMN1,1,1
TTC7A,TANGO2,1,1
TTC7A,TDRD7,1,1
TTC7A,TIMM17A,1,1
TTC7A,TJP2,1,1
TTC7A,TMEM208,1,1
TTC7A,TOMM34,1,1
TTC7A,TRAF5,1,1
TTC7A,TTC39C,1,1
TTC7A,UGT8,1,1
TTC7A,USP40,1,1
TTC7A,VEZT,1,1
TTC7A,ZNF678,1,1
BRMS1,ABCE1,1,1
BRMS1,AKAP8,1,1
BRMS1,BZW1,1,1
BRMS1,CCDC138,1,1
BRMS1,CD3EAP,1,1
BRMS1,CEBPZ,1,1
BRMS1,CHTOP,1,1
BRMS1,DDX18,1,1
BRMS1,DIAPH1,1,1
BRMS1,DNASE2,1,1
BRMS1,DPH2,1,1
BRMS1,ERVK3-1,1,1
BRMS1,GRWD1,1,1
BRMS1,HCFC1,1,1
BRMS1,HNRNPU,1,1
BRMS1,NAA15,1,1
BRMS1,NIFK,1,1
BRMS1,NOLC1,1,1
BRMS1,NOP16,1,1
BRMS1,PAFAH2,1,1
BRMS1,POLE3,1,1
BRMS1,PTS,1,1
BRMS1,RBM12,1,1
BRMS1,RIOK2,1,1
BRMS1,RRP1,1,1
BRMS1,RRP1B,1,1
BRMS1,RRP36,1,1
BRMS1,SF3B3,1,1
BRMS1,SMAGP,1,1
BRMS1,SRSF1,1,1
BRMS1,SRSF3,1,1
BRMS1,SYNCRIP,1,1
BRMS1,TFB2M,1,1
BRMS1,TMX2,1,1
BRMS1,TOE1,1,1
BRMS1,TRMT61A,1,1
TSC22D4,AC009237.8,1,1
TSC22D4,ARF4,1,1
TSC22D4,ATP6AP1,1,1
TSC22D4,CKLF,1,1
TSC22D4,CRLS1,1,1
TSC22D4,CYB5D2,1,1
TSC22D4,DUXAP9,1,1
TSC22D4,EIF2B1,1,1
TSC22D4,FAM189A2,1,1
TSC22D4,GIPC1,1,1
TSC22D4,GMEB2,1,1
TSC22D4,GRPEL2,1,1
TSC22D4,HOXB2,1,1
TSC22D4,KANSL1L,1,1
TSC22D4,KIAA1429,1,1
TSC22D4,LMBRD1,1,1
TSC22D4,METTL2A,1,1
TSC22D4,MRPL47,1,1
TSC22D4,MTFR1L,1,1
TSC22D4,MTX3,1,1
TSC22D4,NMI,1,1
TSC22D4,ORC2,1,1
TSC22D4,PCGF5,1,1
TSC22D4,PLS1,1,1
TSC22D4,PRIM2,1,1
TSC22D4,PSMD13,1,1
TSC22D4,PSMD4,1,1
TSC22D4,RNASEK,1,1
TSC22D4,RP11-529K1.3,1,1
TSC22D4,SAAL1,1,1
TSC22D4,SCOC,1,1
TSC22D4,SNRNP200,1,1
TSC22D4,SNRPD2,1,1
TSC22D4,SNX24,1,1
TSC22D4,SPIRE2,1,1
TSC22D4,ST3GAL6,1,1
TSC22D4,TATDN1,1,1
TSC22D4,TDRP,1,1
TSC22D4,TIMM17B,1,1
TSC22D4,TMEM206,1,1
TSC22D4,TMEM69,1,1
TSC22D4,TPRKB,1,1
TSC22D4,TTC28,1,1
TSC22D4,UBE2V2,1,1
TSC22D4,UCHL5,1,1
TSC22D4,WDR13,1,1
