source,target,weight,correlation
EFNB1,EEF1GP1,1,1
EFNB1,EMP2,1,1
EFNB1,FAM110B,1,1
EFNB1,GLI3,1,1
EFNB1,KIAA1549,1,1
EFNB1,MICB,1,1
EFNB1,MID2,1,1
EFNB1,NID1,1,1
EFNB1,NMT2,1,1
EFNB1,PDE10A,1,1
EFNB1,PPIL2,1,1
EFNB1,RP11-371A22.1,1,1
EFNB1,SLC6A15,1,1
EFNB1,STS,1,1
EFNB1,TMEM248,1,1
EFNB1,TSPAN12,1,1
EFNB1,ZFPM1,1,1
C20ORF24,AAMP,1,1
C20ORF24,ACP1,1,1
C20ORF24,ACP2,1,1
C20ORF24,ADSL,1,1
C20ORF24,AEN,1,1
C20ORF24,APMAP,1,1
C20ORF24,ARMC6,1,1
C20ORF24,ARPC2,1,1
C20ORF24,ASAP1,1,1
C20ORF24,ATAD2,1,1
C20ORF24,ATXN7,1,1
C20ORF24,AZIN1,1,1
C20ORF24,BOLA2B,1,1
C20ORF24,CCNYL1,1,1
C20ORF24,CDC45,1,1
C20ORF24,CDKN2AIPNL,1,1
C20ORF24,CNOT9,1,1
C20ORF24,COPB1,1,1
C20ORF24,COPS6,1,1
C20ORF24,CRAT,1,1
C20ORF24,CSE1L,1,1
C20ORF24,CSTF1,1,1
C20ORF24,CTNNBL1,1,1
C20ORF24,DDX11,1,1
C20ORF24,DDX27,1,1
C20ORF24,DSCC1,1,1
C20ORF24,DSTN,1,1
C20ORF24,DTYMK,1,1
C20ORF24,E2F8,1,1
C20ORF24,EGF,1,1
C20ORF24,ELOVL4,1,1
C20ORF24,EVI2A,1,1
C20ORF24,FAM49B,1,1
C20ORF24,FASTKD2,1,1
C20ORF24,FKBP1A,1,1
C20ORF24,G3BP1,1,1
C20ORF24,GLMN,1,1
C20ORF24,GORASP2,1,1
C20ORF24,HILPDA,1,1
C20ORF24,IMPA1,1,1
C20ORF24,KBTBD8,1,1
C20ORF24,KCTD5,1,1
C20ORF24,KNTC1,1,1
C20ORF24,MCM7,1,1
C20ORF24,MED21,1,1
C20ORF24,MRPL17,1,1
C20ORF24,MRPL20,1,1
C20ORF24,MRTO4,1,1
C20ORF24,MYO1B,1,1
C20ORF24,NFYC,1,1
C20ORF24,NIF3L1,1,1
C20ORF24,NOL9,1,1
C20ORF24,NOP56,1,1
C20ORF24,NPM1,1,1
C20ORF24,NRAS,1,1
C20ORF24,NUF2,1,1
C20ORF24,NUP35,1,1
C20ORF24,NUP98,1,1
C20ORF24,OLA1,1,1
C20ORF24,PARP1,1,1
C20ORF24,PAXBP1,1,1
C20ORF24,PCBP1,1,1
C20ORF24,PHC1,1,1
C20ORF24,POLA1,1,1
C20ORF24,PPM1M,1,1
C20ORF24,PPP6R3,1,1
C20ORF24,PRC1,1,1
C20ORF24,PRELID3B,1,1
C20ORF24,PRTG,1,1
C20ORF24,PSMA1,1,1
C20ORF24,PSMA7,1,1
C20ORF24,PSMD6,1,1
C20ORF24,PUSL1,1,1
C20ORF24,RAD21,1,1
C20ORF24,RANBP1,1,1
C20ORF24,RBL1,1,1
C20ORF24,RBM15,1,1
C20ORF24,RNASEH2A,1,1
C20ORF24,RPS19BP1,1,1
C20ORF24,RRM2,1,1
C20ORF24,SATB1,1,1
C20ORF24,SCO2,1,1
C20ORF24,SGO2,1,1
C20ORF24,SH3D19,1,1
C20ORF24,SH3PXD2B,1,1
C20ORF24,SLC43A3,1,1
C20ORF24,SNRPA1,1,1
C20ORF24,SNRPD3,1,1
C20ORF24,SPAG1,1,1
C20ORF24,SSBP3,1,1
C20ORF24,STAU1,1,1
C20ORF24,THOC7,1,1
C20ORF24,TICRR,1,1
C20ORF24,TMEM106C,1,1
C20ORF24,TMEM237,1,1
C20ORF24,TPD52,1,1
C20ORF24,TXNRD1,1,1
C20ORF24,UBE2S,1,1
C20ORF24,UBIAD1,1,1
C20ORF24,WDR12,1,1
C20ORF24,XPO1,1,1
C20ORF24,ZMYM3,1,1
C20ORF24,ZNF224,1,1
PARPBP,ACP1,1,1
PARPBP,ANAPC1,1,1
PARPBP,ANLN,1,1
PARPBP,AURKB,1,1
PARPBP,BUB1,1,1
PARPBP,CDCA8,1,1
PARPBP,DBF4,1,1
PARPBP,DLG4,1,1
PARPBP,GPN3,1,1
PARPBP,HMMR,1,1
PARPBP,LIN9,1,1
PARPBP,LMBR1L,1,1
PARPBP,NCAPG,1,1
PARPBP,NCAPG2,1,1
PARPBP,NCAPH,1,1
PARPBP,PBK,1,1
PARPBP,PLK1,1,1
PARPBP,PPP1CC,1,1
PARPBP,PRMT3,1,1
PARPBP,PSMD1,1,1
PARPBP,RAD54L,1,1
PARPBP,RAN,1,1
PARPBP,SFXN1,1,1
PARPBP,SGO2,1,1
PARPBP,SNRPA1,1,1
PARPBP,SPC25,1,1
PARPBP,STK19,1,1
PARPBP,TAF1B,1,1
PARPBP,TMEM134,1,1
PARPBP,TMPO,1,1
PARPBP,UBE2SP2,1,1
PARPBP,XPO1,1,1
PARPBP,XRCC6,1,1
PARPBP,ZBTB47,1,1
INTS1,ACP1,1,1
INTS1,ACP2,1,1
INTS1,ANO10,1,1
INTS1,APMAP,1,1
INTS1,BOLA2B,1,1
INTS1,C4ORF3,1,1
INTS1,CCDC9,1,1
INTS1,CD44,1,1
INTS1,DSG2,1,1
INTS1,EIF2S2,1,1
INTS1,GTF3C2,1,1
INTS1,MARC2,1,1
INTS1,OLA1,1,1
INTS1,PCGF3,1,1
INTS1,PIGU,1,1
INTS1,POP5,1,1
INTS1,PROCR,1,1
INTS1,RPE,1,1
INTS1,SCAND1,1,1
INTS1,SIKE1,1,1
INTS1,SNRPA1,1,1
INTS1,UBE2S,1,1
C20ORF27,ACTR5,1,1
C20ORF27,AEN,1,1
C20ORF27,ANXA7,1,1
C20ORF27,API5,1,1
C20ORF27,CCNE2,1,1
C20ORF27,CDCA7,1,1
C20ORF27,CHRAC1,1,1
C20ORF27,CNOT9,1,1
C20ORF27,CPSF4,1,1
C20ORF27,CRAT,1,1
C20ORF27,CSE1L,1,1
C20ORF27,DCP1B,1,1
C20ORF27,DCTPP1,1,1
C20ORF27,DDX27,1,1
C20ORF27,DHFR,1,1
C20ORF27,DTYMK,1,1
C20ORF27,E2F1,1,1
C20ORF27,EIF4G2,1,1
C20ORF27,ESF1,1,1
C20ORF27,EZH2,1,1
C20ORF27,FASTKD2,1,1
C20ORF27,FASTKD5,1,1
C20ORF27,GNAI3,1,1
C20ORF27,HELLS,1,1
C20ORF27,HNRNPA3,1,1
C20ORF27,IFT80,1,1
C20ORF27,IPO7,1,1
C20ORF27,ISOC1,1,1
C20ORF27,KBTBD8,1,1
C20ORF27,LAMA5,1,1
C20ORF27,MAPRE1,1,1
C20ORF27,MCM8,1,1
C20ORF27,MKKS,1,1
C20ORF27,NAP1L4,1,1
C20ORF27,NOP56,1,1
C20ORF27,NUP35,1,1
C20ORF27,PCNA,1,1
C20ORF27,PNPLA6,1,1
C20ORF27,PRC1,1,1
C20ORF27,PSMA1,1,1
C20ORF27,RANGAP1,1,1
C20ORF27,RRM2,1,1
C20ORF27,SF3B1,1,1
C20ORF27,SLC43A3,1,1
C20ORF27,SMPD4,1,1
C20ORF27,SP140L,1,1
C20ORF27,SPTY2D1,1,1
C20ORF27,SRXN1,1,1
C20ORF27,TBCB,1,1
C20ORF27,TBKBP1,1,1
C20ORF27,TCOF1,1,1
C20ORF27,TIMM13,1,1
C20ORF27,TMEM237,1,1
C20ORF27,TOMM22,1,1
C20ORF27,ZGPAT,1,1
C20ORF27,ZNF687,1,1
AAMP,ACP1,1,1
AAMP,ADSL,1,1
AAMP,ALG10,1,1
AAMP,ANO10,1,1
AAMP,APMAP,1,1
AAMP,ARMC6,1,1
AAMP,ATXN7,1,1
AAMP,AZIN1,1,1
AAMP,BCS1L,1,1
AAMP,CCNYL1,1,1
AAMP,CDC45,1,1
AAMP,CDKN2AIPNL,1,1
AAMP,CNOT9,1,1
AAMP,COPB1,1,1
AAMP,COPS6,1,1
AAMP,CSE1L,1,1
AAMP,CTNNBL1,1,1
AAMP,DCLRE1B,1,1
AAMP,DDX11,1,1
AAMP,DSCC1,1,1
AAMP,DSN1,1,1
AAMP,DSTN,1,1
AAMP,E2F6,1,1
AAMP,ELOVL4,1,1
AAMP,EVI2A,1,1
AAMP,FAM49B,1,1
AAMP,FKBP1A,1,1
AAMP,G3BP1,1,1
AAMP,GORASP2,1,1
AAMP,HSPE1,1,1
AAMP,KCTD5,1,1
AAMP,ME2,1,1
AAMP,MED21,1,1
AAMP,MRPL17,1,1
AAMP,MRPL20,1,1
AAMP,MRTO4,1,1
AAMP,MYO1B,1,1
AAMP,NFYC,1,1
AAMP,NIF3L1,1,1
AAMP,NOL9,1,1
AAMP,NOP56,1,1
AAMP,NRAS,1,1
AAMP,NUF2,1,1
AAMP,NUP35,1,1
AAMP,NUP98,1,1
AAMP,ONECUT2,1,1
AAMP,PARP1,1,1
AAMP,PAX9,1,1
AAMP,PAXBP1,1,1
AAMP,PCBP1,1,1
AAMP,PHC1,1,1
AAMP,PPM1M,1,1
AAMP,PPP6R3,1,1
AAMP,PRELID3B,1,1
AAMP,PRTG,1,1
AAMP,PSMA7,1,1
AAMP,PSMD6,1,1
AAMP,PUSL1,1,1
AAMP,RBL1,1,1
AAMP,RBM15,1,1
AAMP,RPS19BP1,1,1
AAMP,RYK,1,1
AAMP,SCO2,1,1
AAMP,SH3D19,1,1
AAMP,SH3PXD2B,1,1
AAMP,SLC25A32,1,1
AAMP,SNRPA1,1,1
AAMP,SNRPD3,1,1
AAMP,SNU13,1,1
AAMP,SPAG1,1,1
AAMP,SPICE1,1,1
AAMP,SRSF10,1,1
AAMP,STAU1,1,1
AAMP,THOC7,1,1
AAMP,TMEM106C,1,1
AAMP,TPD52,1,1
AAMP,TXNRD1,1,1
AAMP,UBE2S,1,1
AAMP,UBIAD1,1,1
AAMP,XPO1,1,1
AAMP,XPO6,1,1
AAMP,ZMYM3,1,1
AAMP,ZNF549,1,1
PMS1,ACBD6,1,1
PMS1,ALDH3A2,1,1
PMS1,ARMCX3,1,1
PMS1,ARMCX6,1,1
PMS1,AXIN2,1,1
PMS1,BUB3,1,1
PMS1,CAMK4,1,1
PMS1,CAMKK2,1,1
PMS1,CCDC125,1,1
PMS1,ELMO2,1,1
PMS1,EXOSC5,1,1
PMS1,FAM120B,1,1
PMS1,IPO13,1,1
PMS1,KLHL23,1,1
PMS1,MYBL1,1,1
PMS1,NCBP2,1,1
PMS1,PCDHGC3,1,1
PMS1,PDAP1,1,1
PMS1,PDE4A,1,1
PMS1,PFKL,1,1
PMS1,PIGC,1,1
PMS1,PITPNA,1,1
PMS1,PLP2,1,1
PMS1,POR,1,1
PMS1,RABGAP1L,1,1
PMS1,RAVER2,1,1
PMS1,RHBDD2,1,1
PMS1,RRAGA,1,1
PMS1,SASS6,1,1
PMS1,SEC23B,1,1
PMS1,SGMS2,1,1
PMS1,SH3BP4,1,1
PMS1,SLC2A13,1,1
PMS1,SLC9A1,1,1
PMS1,SUMO1,1,1
PMS1,TMEM120A,1,1
PMS1,WDR60,1,1
PMS1,YWHAQ,1,1
HOXB13,ANGEL1,1,1
HOXB13,BBS9,1,1
HOXB13,BUB3,1,1
HOXB13,C7ORF31,1,1
HOXB13,CHID1,1,1
HOXB13,FAM120B,1,1
HOXB13,FLYWCH2,1,1
HOXB13,GALNT11,1,1
HOXB13,GPR108,1,1
HOXB13,NBR1,1,1
HOXB13,OCRL,1,1
HOXB13,PDK4,1,1
HOXB13,PRUNE1,1,1
HOXB13,RABGAP1L,1,1
HOXB13,RAPGEF4,1,1
HOXB13,RTN4RL1,1,1
HOXB13,SESN1,1,1
HOXB13,USP30,1,1
POLR3F,ACTR5,1,1
POLR3F,APLP2,1,1
POLR3F,ARID3B,1,1
POLR3F,BID,1,1
POLR3F,BTBD10,1,1
POLR3F,BUB3,1,1
POLR3F,CEP112,1,1
POLR3F,ELL,1,1
POLR3F,EPHX2,1,1
POLR3F,EXOSC1,1,1
POLR3F,FAM120B,1,1
POLR3F,GJC1,1,1
POLR3F,GNG2,1,1
POLR3F,GSTA4,1,1
POLR3F,HPSE,1,1
POLR3F,IFT27,1,1
POLR3F,ISOC1,1,1
POLR3F,MAT2B,1,1
POLR3F,MRPS18C,1,1
POLR3F,NOL7,1,1
POLR3F,PEA15,1,1
POLR3F,PIGC,1,1
POLR3F,PSMB7,1,1
POLR3F,RASSF7,1,1
POLR3F,RHOG,1,1
POLR3F,RNF25,1,1
POLR3F,RP11-568K15.1,1,1
POLR3F,RRAGA,1,1
POLR3F,RTKN2,1,1
POLR3F,SEPN1,1,1
POLR3F,SH3BP4,1,1
POLR3F,SNRPB,1,1
POLR3F,SP140L,1,1
POLR3F,TRMT6,1,1
POLR3F,YPEL2,1,1
SEPT11,AATK,1,1
SEPT11,API5,1,1
SEPT11,ARHGEF6,1,1
SEPT11,BTBD10,1,1
SEPT11,C3ORF70,1,1
SEPT11,CENPV,1,1
SEPT11,CEP112,1,1
SEPT11,CLTCL1,1,1
SEPT11,CORO1C,1,1
SEPT11,FAS,1,1
SEPT11,GDF11,1,1
SEPT11,GNG2,1,1
SEPT11,HNRNPA3,1,1
SEPT11,IFT27,1,1
SEPT11,ITM2A,1,1
SEPT11,KCNA2,1,1
SEPT11,LAMA5,1,1
SEPT11,LPAR3,1,1
SEPT11,MAN1C1,1,1
SEPT11,MBD5,1,1
SEPT11,MBOAT7,1,1
SEPT11,MTG2,1,1
SEPT11,PNPLA6,1,1
SEPT11,POC1A,1,1
SEPT11,PRKD1,1,1
SEPT11,PSMB7,1,1
SEPT11,RTKN2,1,1
SEPT11,SESN1,1,1
SEPT11,SH3BP4,1,1
SEPT11,SLC39A8,1,1
SEPT11,SRRM3,1,1
SEPT11,SUV39H2,1,1
SEPT11,TES,1,1
SEPT11,THEM6,1,1
SEPT11,VASH1,1,1
LPAR6,ACBD6,1,1
LPAR6,ELOVL7,1,1
LPAR6,FAF1,1,1
LPAR6,FHL1,1,1
LPAR6,HDAC9,1,1
LPAR6,LSAMP,1,1
LPAR6,SEC23B,1,1
LPAR6,SIAE,1,1
LPAR6,ZFP64,1,1
FAM73A,ANXA7,1,1
FAM73A,API5,1,1
FAM73A,ARPC2,1,1
FAM73A,C11ORF58,1,1
