source,target,weight,correlation
MTMR12,SLTM,1,1
SLTM,C16ORF58,1,1
SLTM,NOL8,1,1
SLTM,OTUD4,1,1
SLTM,SZT2,1,1
SLTM,THUMPD1,1,1
OTUD4,AP4E1,1,1
OTUD4,DIDO1,1,1
OTUD4,SLC22A18,1,1
OTUD4,THUMPD1,1,1
OTUD4,ZC3H14,1,1
ZC3H14,AP4E1,1,1
ZC3H14,DIDO1,1,1
ZC3H14,MALT1,1,1
ZC3H14,SLC22A18,1,1
ZC3H14,THUMPD1,1,1
THUMPD1,AP4E1,1,1
THUMPD1,BRMS1L,1,1
THUMPD1,C16ORF58,1,1
THUMPD1,NOL8,1,1
SZT2,NOL8,1,1
SZT2,PBDC1,1,1
SZT2,QTRT2,1,1
MALT1,AP4E1,1,1
NOL8,C16ORF58,1,1
NOL8,PBDC1,1,1
MED1,DIDO1,1,1
MED1,POLR2B,1,1
DIDO1,SLC22A18,1,1
POLR2B,SLC22A18,1,1
